,RF_Global,RF_Faixa1,RF_Faixa2,RF_Faixa3,OE_Global,OE_Faixa1,OE_Faixa2,OE_Faixa3
2019-05-19 11:00:00,2.795288659301246,,2.797349652905093,,2.7878232564291268,,2.8076514599603914,
2019-05-19 12:00:00,4.065026017333749,,,4.0755059435541385,4.088161411093331,,,4.0748040205096965
2019-05-19 13:00:00,4.7769053065040366,,,4.801334583333334,4.846819865787204,,,4.834758373843299
2019-05-19 14:00:00,2.9526595152375297,,2.947114523694412,,2.909391482960429,,2.9491660638345167,
2019-05-19 15:00:00,2.804501655659119,,2.814193703174441,,2.8072015162868365,,2.834475053727318,
2019-05-19 16:00:00,1.6853354655364432,1.68933062502732,,,1.6317136493506132,1.6861514516276146,,
2019-05-19 17:00:00,0.6761577829038751,0.6737273258598286,,,0.66167862784916,0.668532407200977,,
2019-05-20 05:00:00,0.5531718531574478,0.5584885923052405,,,0.5499296231611323,0.5462317529342489,,
2019-05-20 06:00:00,0.5779945443698893,0.5750187846512748,,,0.5778522357678563,0.5755954904356761,,
2019-05-20 07:00:00,0.45560052678807816,0.4579132840537574,,,0.46418246500198146,0.4585269855795866,,
2019-05-20 08:00:00,0.8362185544998323,0.8372245905595169,,,0.875139364347528,0.8856905982680832,,
2019-05-20 09:00:00,1.6535333855256311,1.647148554765808,,,1.6240609943783817,1.6681808003222196,,
2019-05-20 10:00:00,3.1747466312627024,,3.183664992359789,,3.2489241865203127,,3.305545353595754,
2019-05-20 11:00:00,5.564852823851456,,,5.616842184513082,5.67927603030526,,,5.690129019918638
2019-05-20 12:00:00,5.162652863697975,,,5.151291992533092,5.160050127563375,,,5.155254699955548
2019-05-20 13:00:00,5.086213675435863,,,5.098624536645107,5.081416486319992,,,5.0749839495005356
2019-05-20 14:00:00,4.079569070949378,,,4.07445059355762,4.139017824579097,,,4.127842440045088
2019-05-20 15:00:00,2.9612628716344154,,2.961739436615652,,2.9477995972497673,,2.9767355759713867,
2019-05-20 16:00:00,1.5195130112672777,1.5212665352818198,,,1.4901738659700041,1.5338423594657997,,
2019-05-20 17:00:00,0.7090060000884769,0.7061673697450693,,,0.687661235076777,0.6939883617558886,,
2019-05-20 18:00:00,0.44560626330600733,0.4457064155907362,,,0.4340110182322875,0.4297119364138403,,
2019-05-21 05:00:00,0.40864985953944183,0.4080253096356627,,,0.42556074458891846,0.416925263207448,,
2019-05-21 06:00:00,0.9449146405303023,0.9368129352143633,,,0.9752810264361149,0.9858238506974741,,
2019-05-21 07:00:00,0.8615264981130817,0.8669557872168048,,,0.8962631008079222,0.9054360418400156,,
2019-05-21 08:00:00,0.6811263647943132,0.6814362123398134,,,0.6680667926238223,0.6687914981371522,,
2019-05-21 09:00:00,1.42563402074655,1.4441509183564214,,,1.3957377071597263,1.4253042145447838,,
2019-05-21 10:00:00,0.7915809220218358,0.8022893488337973,,,0.7977434043328978,0.8027694732261462,,
2019-05-21 11:00:00,1.5461503525925928,1.5295103144142743,,,1.4913774009370018,1.525601772967553,,
2019-05-21 12:00:00,1.0488495782077911,1.0548389024151783,,,1.0480783332229329,1.066562353149521,,
2019-05-21 13:00:00,1.0350867837696467,1.0376398935808504,,,1.0306020976342367,1.0487383786641862,,
2019-05-21 14:00:00,1.6941830323432217,1.695993173216238,,,1.6861670803523614,1.7348412141701772,,
2019-05-21 15:00:00,0.45982649329795017,0.462716280025252,,,0.48259333610555005,0.4786875496641868,,
2019-05-22 05:00:00,0.36499711870145035,0.3650244124441319,,,0.37802773666145745,0.3669269138338953,,
2019-05-22 06:00:00,0.32692823722222214,0.3281468627777776,,,0.34949745920057324,0.3382495057588296,,
2019-05-22 07:00:00,0.5067317044721016,0.5056050481782105,,,0.5130241966776743,0.5056811676098423,,
2019-05-22 08:00:00,0.4750227219138107,0.4853683786171504,,,0.4828459981938327,0.4746199768109121,,
2019-05-22 09:00:00,0.5534162815218364,0.5533604430689255,,,0.5622263622455624,0.5551919719395552,,
2019-05-22 10:00:00,0.6062297919753644,0.5930738213932005,,,0.5790847696065731,0.5719248310075293,,
2019-05-22 11:00:00,0.6055805565376539,0.5891435827410215,,,0.5784360078368886,0.5710737400299358,,
2019-05-22 12:00:00,0.7866519238720535,0.7941736472804185,,,0.7795700354956359,0.777859433473448,,
2019-05-22 13:00:00,0.6652668332982938,0.6641686441231778,,,0.6591097160632446,0.6538299992874473,,
2019-05-22 14:00:00,0.46425902544001574,0.4666338684335208,,,0.47696914911474186,0.46739304914078467,,
2019-05-22 16:00:00,0.3876934137496372,0.3903229291774894,,,0.41001838514858574,0.39886196980183947,,
2019-05-22 17:00:00,0.3452442376372897,0.34979949728044024,,,0.36777299686678133,0.35619137279704205,,
2019-05-23 04:00:00,0.3642889545099952,0.3659535440683493,,,0.394729138095597,0.3813111690054974,,
2019-05-23 05:00:00,0.6005257652441678,0.5950302030808082,,,0.5846386200093446,0.5755326362392265,,
2019-05-23 06:00:00,1.1938233909224025,1.19207343334841,,,1.1486957490111942,1.1558021741785476,,
2019-05-23 07:00:00,2.464883502004643,,2.491138814547363,,2.5943628689939615,,2.567939957847409,
2019-05-23 08:00:00,3.8677747292871665,,,3.975983006147568,4.035493392627562,,,4.035537368938361
2019-05-23 09:00:00,5.051420214882665,,,5.075153640353172,5.0685804016361935,,,5.071027378967537
2019-05-23 10:00:00,5.643716958788088,,,5.698596372433209,5.675557107001389,,,5.690370103466339
2019-05-23 11:00:00,5.701919468227817,,,5.881634025390515,5.896978211333106,,,5.920901903769752
