,TEMPERATURE[degC],HUMIDITY[%],WIND_SPEED[m1s],WIND_DIR[deg],GHI[kW1m2],POA Irr[kW1m2],P_Gaia[kW],P_Solar[kW],Pressure[mbar],PR_A,Pac,Pdc,TempModule,TempCell,P/Pac
2018-06-01 04:00:00,14.956095238095244,0.6999999999999967,1.2522380952380954,90.30333333333333,0.13732523809523814,0.05697380952380952,0.0006714285714285713,0.3168333333333333,1016.8246751476469,0.7712586178210931,0.43228693108567445,0.44065946084166613,16.43021712701533,16.601138555586754,0.7329236915342705
2018-06-01 05:00:00,16.359277777777784,0.6999999999999967,1.571111111111111,99.76083333333332,0.22572388888888884,0.074395,0.05638138888888889,0.45730333333333323,1016.9211527336965,0.8516188522474093,0.5596284000790855,0.5704672783680791,18.238640173264958,18.46182517326496,0.8171553360564047
2018-06-01 06:00:00,18.2663888888889,0.6334999999999967,1.6542499999999996,101.44861111111112,0.3446255555555553,0.14362944444444445,0.034201944444444445,0.9816288888888892,1016.6028848097061,0.959273624499604,1.0580317720414358,1.0785237227741447,21.879632084000704,22.310520417334036,0.9277877232314774
2018-06-01 07:00:00,20.06475,0.5879722222222193,1.5557499999999997,99.84194444444444,0.4512986111111111,0.34200833333333347,0.002903055555555556,2.3506452777777778,1016.3328124830456,0.9541269703536551,2.4359906004305096,2.483170846514281,28.71700653387302,29.74303153387302,0.9649648390935298
2018-06-01 08:00:00,21.713277777777776,0.4995833333333333,1.627638888888889,106.43416666666667,0.5401905555555554,0.5382666666666663,0.003948333333333334,3.661578611111112,1016.1455996534561,0.9455783462563464,3.7043214820077015,3.776066750262693,35.266053604190056,36.88085360419005,0.9884613495064626
2018-06-01 09:00:00,23.697416666666655,0.4281944444444463,1.4750833333333333,122.62388888888889,0.6026958333333334,0.6992186111111112,6.333333333333333e-05,4.591298055555556,1016.0549936930341,0.9125226331893042,4.652613401713864,4.742725180136456,41.509275954857976,43.60693178819131,0.9868213107635977
2018-06-01 10:00:00,24.71080555555558,0.403388888888891,1.690944444444444,126.74000000000001,0.6345319444444447,0.8037683333333332,0.03466888888888889,5.162019166666666,1015.9878874545628,0.8922321271305448,5.248244509078274,5.349892465930963,44.85594633388678,47.267251333886776,0.983570631615494
2018-06-01 11:00:00,25.59233333333333,0.3895555555555572,1.6576111111111114,119.93861111111111,0.6393108333333339,0.8553383333333343,0.011160000000000002,5.410934999999999,1015.6094604322648,0.8786180620524267,5.51602120961087,5.62285546341577,47.07948003461582,49.64549503461583,0.9809489112500559
2018-06-01 12:00:00,26.340333333333366,0.342472222222222,1.7683888888888883,126.815,0.6061036111111123,0.8355877777777777,0.0073147222222222225,5.329416388888888,1015.377886844211,0.8858738903458282,5.388140090254102,5.4924975435821635,47.16008619897341,49.66684953230675,0.9891013039042116
2018-06-01 13:00:00,27.257472222222237,0.3540555555555558,1.5325555555555557,195.45000000000002,0.5375355555555555,0.7488469444444439,0.0,4.8840877777777765,1014.8423643663194,0.9063235915323578,4.857504016435341,4.951584114612987,46.25980938082515,48.50635021415849,1.0054727204038307
2018-06-01 14:00:00,27.158999999999963,0.4000000000000021,1.9824444444444442,304.8883333333333,0.447559722222222,0.6064869444444444,0.0,4.109854444444444,1014.4734963480632,0.9428972768669833,4.031564947885499,4.10964826491896,42.00847090500118,43.82793173833451,1.019419133158206
2018-06-01 15:00:00,27.19841666666665,0.4386666666666674,1.9217500000000003,285.2919444444445,0.3418730555555555,0.4245802777777779,0.06534888888888889,3.0359386111111113,1014.0272721354168,0.9947954220553511,2.889763330452738,2.9457322430710886,37.71765102371311,38.991391857046445,1.0505838243284347
2018-06-01 16:00:00,25.739166666666666,0.5344166666666655,2.026083333333333,289.93694444444446,0.23316444444444465,0.22589222222222224,0.06911805555555556,1.6843622222222228,1013.7417462836371,1.0367892028698786,1.5924634207419386,1.6233062392884188,31.22980650553497,31.907483172201637,1.0577085792259315
2018-06-01 17:00:00,24.783030303030316,0.5023939393939393,2.214212121212121,266.44878787878787,0.1329390909090909,0.07967303030303029,0.23011636363636362,0.551159696969697,1013.4757915704901,0.9373799665552592,0.5753253187788218,0.5864682148611843,26.705928939781394,26.944948030690487,0.9579965959773535
2018-06-02 04:00:00,17.80255555555553,0.8247777777777815,1.014777777777778,92.85777777777777,0.16436444444444429,0.05270111111111125,0.0,0.28303333333333364,1012.8508980984157,0.7459972543500131,0.39492954815208203,0.40257854042006325,19.190946930735816,19.34905026406915,0.7166679086375712
2018-06-02 05:00:00,18.375472222222218,0.8420277777777798,0.9710277777777777,141.93555555555557,0.23622833333333337,0.061724166666666656,0.0,0.35697555555555577,1012.9821987915038,0.8009254373112605,0.46059944048081986,0.4695203266878898,20.009617722855797,20.194790222855797,0.775023858437407
2018-06-02 06:00:00,20.538027777777803,0.72861111111111,1.110694444444444,278.75555555555553,0.35255861111111103,0.13172194444444438,0.0,0.8830449999999996,1013.2487766859267,0.9434651954082307,0.9617239160616392,0.9803505770251163,23.96118309293712,24.356348926270456,0.9181897062684704
2018-06-02 07:00:00,21.167111111111108,0.6908611111111079,1.454777777777778,298.8441666666667,0.4623444444444442,0.3413688888888889,0.0,2.3232266666666663,1013.3533416748045,0.9443199147379656,2.4173155509464688,2.464134098824127,29.87252094169125,30.896627608357914,0.9610771195167452
2018-06-02 08:00:00,23.230333333333302,0.6021388888888857,1.2446666666666666,289.8152777777778,0.552754444444444,0.544596666666667,0.0,3.6610652777777766,1013.3261423577202,0.9346543279529028,3.7082567425746693,3.7800782289242303,37.34323029146504,38.977020291465045,0.9872739489002783
