,TEMPERATURE[degC],HUMIDITY[%],POA Irr[kW1m2],Pac,TempModule,TempCell,GHI[kW1m2],P_Solar[kW],P/Pac
2018-06-01 04:00:00,14.956095238095244,0.6999999999999967,0.0569738095238095,0.4322869310856744,16.43021712701533,16.601138555586754,0.1373252380952381,0.3168333333333333,0.7329236915342706
2018-06-01 05:00:00,16.359277777777784,0.6999999999999967,0.074395,0.5596284000790855,18.23864017326496,18.46182517326496,0.2257238888888888,0.4573033333333332,0.8171553360564046
2018-06-01 06:00:00,18.2663888888889,0.6334999999999967,0.1436294444444444,1.0580317720414358,21.879632084000704,22.31052041733404,0.3446255555555553,0.9816288888888892,0.9277877232314774
2018-06-01 07:00:00,20.06475,0.5879722222222193,0.3420083333333334,2.4359906004305096,28.71700653387302,29.74303153387302,0.4512986111111111,2.3506452777777778,0.9649648390935298
2018-06-01 08:00:00,21.713277777777776,0.4995833333333333,0.5382666666666663,3.7043214820077015,35.266053604190056,36.88085360419005,0.5401905555555554,3.661578611111112,0.9884613495064626
2018-06-01 09:00:00,23.69741666666665,0.4281944444444463,0.6992186111111112,4.652613401713864,41.509275954857976,43.60693178819131,0.6026958333333334,4.591298055555556,0.9868213107635977
2018-06-01 10:00:00,24.71080555555558,0.403388888888891,0.8037683333333332,5.248244509078274,44.85594633388678,47.267251333886776,0.6345319444444447,5.162019166666666,0.983570631615494
2018-06-01 11:00:00,25.59233333333333,0.3895555555555572,0.8553383333333343,5.51602120961087,47.07948003461582,49.64549503461583,0.6393108333333339,5.410934999999999,0.9809489112500559
2018-06-01 12:00:00,26.34033333333337,0.342472222222222,0.8355877777777777,5.388140090254102,47.16008619897341,49.66684953230675,0.6061036111111123,5.329416388888888,0.9891013039042116
2018-06-01 13:00:00,27.25747222222224,0.3540555555555558,0.7488469444444439,4.857504016435341,46.25980938082515,48.50635021415849,0.5375355555555555,4.8840877777777765,1.0054727204038307
2018-06-01 14:00:00,27.158999999999963,0.4000000000000021,0.6064869444444444,4.031564947885499,42.00847090500118,43.82793173833451,0.447559722222222,4.109854444444444,1.019419133158206
2018-06-01 15:00:00,27.19841666666665,0.4386666666666674,0.4245802777777779,2.889763330452738,37.71765102371311,38.991391857046445,0.3418730555555555,3.0359386111111117,1.0505838243284347
2018-06-01 16:00:00,25.739166666666662,0.5344166666666655,0.2258922222222222,1.5924634207419386,31.22980650553497,31.90748317220164,0.2331644444444446,1.6843622222222228,1.0577085792259315
2018-06-01 17:00:00,24.78303030303032,0.5023939393939393,0.0796730303030302,0.5753253187788218,26.705928939781398,26.944948030690487,0.1329390909090909,0.551159696969697,0.9579965959773535
2018-06-02 04:00:00,17.80255555555553,0.8247777777777815,0.0527011111111112,0.394929548152082,19.190946930735816,19.34905026406915,0.1643644444444442,0.2830333333333336,0.7166679086375712
2018-06-02 05:00:00,18.375472222222218,0.8420277777777798,0.0617241666666666,0.4605994404808198,20.0096177228558,20.1947902228558,0.2362283333333333,0.3569755555555557,0.775023858437407
2018-06-02 06:00:00,20.538027777777803,0.72861111111111,0.1317219444444443,0.9617239160616392,23.96118309293712,24.356348926270456,0.352558611111111,0.8830449999999996,0.9181897062684704
2018-06-02 07:00:00,21.167111111111108,0.6908611111111079,0.3413688888888889,2.4173155509464688,29.87252094169125,30.896627608357917,0.4623444444444442,2.3232266666666663,0.9610771195167452
2018-06-02 08:00:00,23.230333333333306,0.6021388888888857,0.544596666666667,3.708256742574669,37.34323029146504,38.977020291465045,0.552754444444444,3.661065277777777,0.9872739489002785
2018-06-02 09:00:00,24.24036111111113,0.539222222222221,0.7059497222222221,4.691984606799837,41.73835561585055,43.85620478251722,0.6159280555555557,4.61166138888889,0.9828807584333208
2018-06-02 10:00:00,25.216500000000007,0.4980833333333334,0.8167936111111117,5.339307366235464,44.63330571560939,47.08368654894272,0.6517647222222219,5.2382583333333335,0.9810745053672802
2018-06-02 11:00:00,26.44433333333332,0.4364444444444457,0.8606236111111122,5.550662719112154,47.043533591438745,49.62540442477208,0.6519447222222219,5.454355,0.9826493296412074
2018-06-02 12:00:00,27.409361111111096,0.390222222222224,0.8402425000000001,5.394178485416206,47.97117467760732,50.49190217760732,0.6154850000000006,5.33671111111111,0.9893464084548804
2018-06-02 13:00:00,27.66061111111109,0.395555555555557,0.7618775000000002,4.952575218196302,45.82737487972286,48.11300737972286,0.5528636111111109,5.009725833333334,1.0115395753964633
2018-06-02 14:00:00,27.005083333333328,0.4895833333333334,0.618447777777778,4.1287471271677605,41.08240817783858,42.93775151117191,0.461641388888889,4.321024722222222,1.0465704459808756
2018-06-02 15:00:00,26.707722222222227,0.4115277777777799,0.4374524999999997,2.9877295007228124,37.13693241830377,38.44928991830377,0.35768,3.2027161111111115,1.0719565175951464
2018-06-02 16:00:00,26.096027777777795,0.4536944444444453,0.2300605555555555,1.617001296574556,31.602795938878227,32.29297760554489,0.2447369444444447,1.7745066666666665,1.0974058403204554
2018-06-02 17:00:00,25.49726666666668,0.4467000000000012,0.0815023333333332,0.586517847169134,27.46648321293957,27.710990212939567,0.1395293333333332,0.5819116666666668,0.9921465637836953
2018-06-03 04:00:00,17.644799999999943,0.9000000000000027,0.0552453333333332,0.4143028584416539,19.009603896175356,19.175339896175352,0.1523286666666667,0.3072079999999998,0.7415058663981287
2018-06-03 05:00:00,18.386527777777776,0.8942222222222255,0.0702547222222223,0.5239115174337678,20.130072079902813,20.340836246569484,0.2282386111111112,0.4279183333333333,0.8167759613863235
