dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20191113,000100,0,2.95,0.1,0,0,24.35,0.07,0,0,0.43,25,45,9.31,0
20191113,000200,0,2.84,0.09,0,0,23.41,0.06,0,0,0.46,25.06,90,13.3,0
20191113,000300,0,3.04,0.1,0,0,25.05,0.07,0,0,0.45,25.19,45,7.98,0
20191113,000400,0,3.11,0.1,0,0,25.67,0.07,0,0,0.44,25,135,5.32,0
20191113,000500,0,3.25,0.11,0,0,26.8,0.07,0,0,0.44,25.06,90,13.3,0
20191113,000600,0,2.99,0.1,0,0,24.65,0.07,0,0,0.45,25.12,135,5.32,0
20191113,000700,3.13,2.71,0.09,0,0,22.34,0.06,0,0,0.45,25.06,135,2.66,0
20191113,000800,0,2.44,0.08,0,0,20.14,0.06,0,0,0.44,25.19,45,10.64,0
20191113,000900,0,2.76,0.09,0,0,22.78,0.06,0,0,0.45,25.06,135,2.66,0
20191113,001000,0,3.06,0.1,0,0,25.27,0.07,0,0,0.46,25,90,7.98,0
20191113,001100,0,2.33,0.08,0,0,19.25,0.05,0,0,0.46,25,45,6.65,0
20191113,001200,0,2.91,0.1,0,0,24.03,0.07,0,0,0.46,25,135,5.32,0
20191113,001300,0,2.99,0.1,0,0,24.64,0.07,0,0,0.46,25.06,135,5.32,0
20191113,001400,0,2.78,0.09,0,0,22.92,0.06,0,0,0.46,24.94,90,2.66,0
20191113,001500,0,3.07,0.1,0,0,25.29,0.07,0,0,0.47,25.12,135,5.32,0
20191113,001600,0,2.53,0.08,0,0,20.87,0.06,0,0,0.47,25.06,45,3.99,0
20191113,001700,0,2.87,0.1,0,0,23.65,0.07,0,0,0.46,25.06,135,10.64,0
20191113,001800,0,2.98,0.1,0,0,24.55,0.07,0,0,0.46,25.06,45,7.98,0
20191113,001900,0,3.1,0.1,0,0,25.54,0.07,0,0,0.44,25.12,45,6.65,0
20191113,002000,0,2.5,0.08,0,0,20.6,0.06,0,0,0.44,24.94,90,1.33,0
20191113,002100,0,2.29,0.08,0,0,18.92,0.05,0,0,0.43,24.81,45,5.32,0
20191113,002200,0,2.75,0.09,0,0,22.67,0.06,0,0,0.43,25,45,3.99,0
20191113,002300,0,2.78,0.09,0,0,22.93,0.06,0,0,0.43,24.94,135,1.33,0
20191113,002400,0,3.07,0.1,0,0,25.35,0.07,0,0,0.44,25.12,135,5.32,0
20191113,002500,0,2.97,0.1,0,0,24.48,0.07,0,0,0.43,24.88,135,2.66,0
20191113,002600,0,2.88,0.1,0,0,23.77,0.07,0,0,0.43,24.81,45,9.31,0
20191113,002700,0,2.95,0.1,0,0,24.3,0.07,0,0,0.43,25,135,5.32,0
20191113,002800,0,2.94,0.1,0,0,24.24,0.07,0,0,0.44,25,180,2.66,0
20191113,002900,0,2.78,0.09,0,0,22.93,0.06,0,0,0.43,25,90,5.32,0
20191113,003000,0,2.79,0.09,0,0,23.02,0.06,0,0,0.43,24.81,45,3.99,0
20191113,003100,0,3.36,0.11,0,0,27.71,0.08,0,0,0.43,24.75,180,0,0
20191113,003200,0,2.7,0.09,0,0,22.27,0.06,0,0,0.44,24.94,45,2.66,0
20191113,003300,1.17,2.69,0.09,0,0,22.17,0.06,0,0,0.45,25.06,135,0,0
20191113,003400,0,2.72,0.09,0,0,22.42,0.06,0,0,0.44,24.94,135,2.66,0
20191113,003500,0,2.74,0.09,0,0,22.63,0.06,0,0,0.44,25,135,2.66,0
20191113,003600,0,2.57,0.09,0,0,21.19,0.06,0,0,0.44,25,180,3.99,0
20191113,003700,0,2.79,0.09,0,0,22.99,0.06,0,0,0.43,24.94,90,6.65,0
20191113,003800,0,2.96,0.1,0,0,24.44,0.07,0,0,0.43,25.25,135,3.99,0
20191113,003900,0,2.74,0.09,0,0,22.64,0.06,0,0,0.42,25.12,45,0,0
20191113,004000,0,3.05,0.1,0,0,25.2,0.07,0,0,0.42,25.06,135,0,0
20191113,004100,0,2.34,0.08,0,0,19.28,0.05,0,0,0.43,25,180,0,0
20191113,004200,0,2.85,0.09,0,0,23.47,0.06,0,0,0.43,24.88,90,5.32,0
20191113,004300,0,2.95,0.1,0,0,24.35,0.07,0,0,0.43,25,135,1.33,0
20191113,004400,0,2.77,0.09,0,0,22.87,0.06,0,0,0.45,25,135,2.66,0
20191113,004500,0,2.94,0.1,0,0,24.23,0.07,0,0,0.45,25.12,135,2.66,0
20191113,004600,0,2.8,0.09,0,0,23.06,0.06,0,0,0.45,25.12,45,5.32,0
20191113,004700,0,2.73,0.09,0,0,22.48,0.06,0,0,0.44,25.06,135,3.99,0
20191113,004800,0,2.28,0.08,0,0,18.78,0.05,0,0,0.43,24.94,135,2.66,0
20191113,004900,0,2.8,0.09,0,0,23.1,0.06,0,0,0.43,25.12,135,2.66,0
20191113,005000,0,2.33,0.08,0,0,19.26,0.05,0,0,0.42,25.19,180,5.32,0
20191113,005100,0,2.83,0.09,0,0,23.31,0.06,0,0,0.42,25.31,135,2.66,0
20191113,005200,0,2.53,0.08,0,0,20.85,0.06,0,0,0.42,25,180,5.32,0
20191113,005300,0,2.48,0.08,0,0,20.46,0.06,0,0,0.43,24.94,135,7.98,0
20191113,005400,0,2.59,0.09,0,0,21.38,0.06,0,0,0.43,25.19,45,5.32,0
20191113,005500,0,2.48,0.08,0,0,20.46,0.06,0,0,0.42,25,0,2.66,0
20191113,005600,0,2.36,0.08,0,0,19.46,0.05,0,0,0.41,24.94,90,3.99,0
20191113,005700,0,2.57,0.09,0,0,21.17,0.06,0,0,0.44,25.06,45,2.66,0
20191113,005800,0,2.69,0.09,0,0,22.22,0.06,0,0,0.43,25.06,45,5.32,0
20191113,005900,0,2.42,0.08,0,0,19.97,0.05,0,0,0.43,24.94,90,0,0
20191113,010000,0,2.78,0.09,0,0,22.93,0.06,0,0,0.44,25,90,2.66,0
20191113,010100,0,2.72,0.09,0,0,22.47,0.06,0,0,0.43,24.88,45,1.33,0
20191113,010200,0,2.96,0.1,0,0,24.45,0.07,0,0,0.43,24.94,45,0,0
20191113,010300,0,3.1,0.1,0,0,25.6,0.07,0,0,0.43,24.94,45,2.66,0
20191113,010400,0,2.29,0.08,0,0,18.9,0.05,0,0,0.44,25,135,1.33,0
20191113,010500,0,2.84,0.09,0,0,23.43,0.06,0,0,0.44,25,0,2.66,0
20191113,010600,0,2.84,0.09,0,0,23.43,0.06,0,0,0.44,25.06,135,2.66,0
20191113,010700,0,3.25,0.11,0,0,26.8,0.07,0,0,0.45,24.94,0,5.32,0
20191113,010800,0,2.76,0.09,0,0,22.74,0.06,0,0,0.45,25.06,0,2.66,0
20191113,010900,0,3.09,0.1,0,0,25.51,0.07,0,0,0.45,25.06,0,2.66,0
20191113,011000,0,2.73,0.09,0,0,22.53,0.06,0,0,0.44,25,180,2.66,0
20191113,011100,0,2.86,0.1,0,0,23.56,0.06,0,0,0.44,24.94,135,0,0
20191113,011200,0,2.88,0.1,0,0,23.79,0.07,0,0,0.45,24.81,180,0,0
20191113,011300,0,2.46,0.08,0,0,20.33,0.06,0,0,0.45,24.62,180,0,0
20191113,011400,0,3.08,0.1,0,0,25.42,0.07,0,0,0.44,24.56,180,0,0
20191113,011500,0,2.79,0.09,0,0,23.06,0.06,0,0,0.45,24.69,180,0,0
20191113,011600,0,2.71,0.09,0,0,22.37,0.06,0,0,0.44,24.69,180,0,0
20191113,011700,0,2.73,0.09,0,0,22.49,0.06,0,0,0.44,24.5,180,0,0
20191113,011800,0,2.87,0.1,0,0,23.65,0.06,0,0,0.43,24.56,180,0,0
20191113,011900,0,2.43,0.08,0,0,20.01,0.05,0,0,0.43,24.56,180,0,0
