dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191122,060700,1148,5.38,2.04,213.4,571,114
20191122,060800,1167,5.45,2.08,214.1,575.6,115
20191122,060900,1203,5.61,2.15,214.5,575.5,118
20191122,061000,1248,5.82,2.24,214.4,575.3,123
20191122,061100,1293,6.03,2.29,214.5,571.5,129
20191122,061200,1319,6.16,2.37,214.3,574.1,130
20191122,061300,1365,6.37,2.42,214.5,572.8,135
20191122,061400,1421,6.63,2.55,214.7,571.9,140
20191122,061500,1467,6.85,2.63,214.7,570.5,144
20191122,061600,1533,7.16,2.8,214.6,562.9,152
20191122,061700,1593,7.47,2.85,213.2,572.3,156
20191122,061800,1632,7.65,2.95,213,569.4,161
20191122,061900,1662,7.8,2.96,213.2,574,164
20191122,062000,1694,8.05,3.04,212.9,566.8,168
20191122,062100,1776,8.35,3.17,213,573.9,175
20191122,062200,1817,8.54,3.22,212.9,570.9,179
20191122,062300,1848,8.68,3.3,213,571.9,182
20191122,062400,1892,8.9,3.35,212.7,572.2,187
20191122,062500,1935,9.08,3.43,213.1,570.5,193
20191122,062600,1980,9.31,3.51,213,574.7,197
20191122,062700,2017,9.49,3.58,213.2,570.7,200
20191122,062800,2043,9.62,3.63,213.1,570.3,203
20191122,062900,2091,9.81,3.76,213.1,566.2,208
20191122,063000,2133,10.02,3.82,213.3,569.7,214
20191122,063100,2183,10.24,3.9,213.3,565.3,217
20191122,063200,2229,10.44,3.98,213.5,569.6,223
20191122,063300,2268,10.65,4.04,213.3,568.8,226
20191122,063400,2310,10.83,4.11,213.3,567.8,231
20191122,063500,2348,11.03,4.18,213.1,569.2,234
20191122,063600,2388,11.19,4.24,213.4,566.6,240
20191122,063700,2427,11.4,4.36,213.3,569.6,243
20191122,063800,2463,11.57,4.38,213.5,569.4,246
20191122,063900,2508,11.75,4.5,213.2,566.6,252
20191122,064000,2547,11.93,4.53,213.5,566.2,254
20191122,064100,2583,12.1,4.61,213.6,571.3,258
20191122,064200,2624,12.29,4.68,213.5,566.2,263
20191122,064300,2664,12.47,4.77,213.6,570.7,266
20191122,064400,2700,12.64,4.78,213.6,567.5,270
20191122,064500,2727,12.79,4.9,213.7,568.9,274
20191122,064600,2754,12.9,4.88,213.5,570,277
20191122,064700,2778,13.05,4.94,213.5,566.8,280
20191122,064800,2813,13.18,5.05,213.7,568.2,284
20191122,064900,2856,13.37,5.07,213.8,569,289
20191122,065000,2883,13.51,5.21,213.5,565.5,292
20191122,065100,2910,13.62,5.23,213.7,562.8,295
20191122,065200,2952,13.7,5.34,215.6,564,299
20191122,065300,2979,13.83,5.33,215.5,564.3,299
20191122,065400,3000,13.94,5.43,215.3,562.5,304
20191122,065500,3023,14.16,5.43,213.9,565.9,309
20191122,065600,3080,14.4,5.54,213.9,565.8,313
20191122,065700,3141,14.67,5.61,214,565.6,319
20191122,065800,3184,14.88,5.75,213.9,562.2,325
20191122,065900,3220,15.08,5.79,213.6,562.6,328
20191122,070000,3252,15.22,5.87,213.6,560.3,333
20191122,070100,3279,15.35,5.91,213.6,560.8,334
20191122,070200,3315,15.5,6,214.1,561.4,341
20191122,070300,3327,15.57,6.04,213.8,557.5,341
20191122,070400,3396,15.89,6.17,213.8,557.5,348
20191122,070500,3453,16.19,6.28,213.4,560.9,353
20191122,070600,3492,16.28,6.3,214.4,559.2,357
20191122,070700,3535,16.48,6.42,214.5,561.7,362
20191122,070800,3572,16.52,6.49,216.3,561.2,365
20191122,070900,3576,16.68,6.56,215.9,561.1,369
20191122,071000,3594,16.65,6.55,216.1,559.5,368
20191122,071100,3573,16.79,6.46,213,560.5,366
20191122,071200,3696,17.28,6.67,213.8,557.8,380
20191122,071300,3777,17.67,6.83,213.7,561.6,388
20191122,071400,3831,17.93,6.95,213.7,561.7,394
20191122,071600,3885,18.15,7.06,213.5,556.8,398
20191122,071700,3816,14.74,6.78,212.9,459.9,404
20191122,071800,3981,18.63,7.21,213.6,556,409
20191122,071900,3993,18.67,7.25,213.3,560.6,411
20191122,072000,4068,19.07,7.35,213.1,560.3,420
20191122,072100,4107,19.24,7.51,213.6,558.8,424
20191122,072200,4152,19.45,7.57,213.4,557.7,429
20191122,072300,4183,19.63,7.65,213.6,555.9,433
20191122,072400,4222,19.83,7.77,213.2,554.4,438
20191122,072500,4260,19.97,7.77,213.3,553.6,443
20191122,072600,4293,19.94,7.9,215,552.6,446
20191122,072700,4334,20.15,7.91,215.2,555.6,450
20191122,072800,4374,20.38,8.01,214.7,551.4,456
20191122,072900,4410,20.65,8.09,213.5,555.6,459
20191122,073000,4437,20.77,8.09,213.6,551.9,464
20191122,073100,4464,20.92,8.22,213.4,554.7,465
20191122,073200,4500,21.06,8.2,213.6,553.5,470
20191122,073300,4521,21.2,8.32,213.4,552.8,473
20191122,073400,4557,21.46,8.39,212.5,552.1,478
20191122,073500,4587,21.61,8.51,212.2,548.9,481
20191122,073600,4623,21.78,8.59,212.3,548.6,487
20191122,073700,4664,21.96,8.67,212.4,547.3,491
20191122,073800,4703,22.06,8.69,213.1,549.2,496
