dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191117,000000,0,0.09,0,212.1,45.1,0
20191117,000100,0,0.09,0,212.1,45.2,0
20191117,000200,0,0.09,0,212.1,45.2,0
20191117,000300,0,0.09,0,212.1,45.5,0
20191117,000400,0,0.09,0,212.1,45.5,0
20191117,000500,0,0.09,0,212.1,45.6,0
20191117,000600,0,0.09,0,212.1,45.6,0
20191117,000700,0,0.09,0,212.1,45.5,0
20191117,000800,0,0.09,0,212.1,45.5,0
20191117,000900,0,0.09,0,212.1,45.5,0
20191117,001000,0,0.09,0,212.1,45.5,0
20191117,001100,0,0.09,0,212.1,45.4,0
20191117,001200,0,0.09,0,212.1,45.2,0
20191117,001300,0,0.09,0,212.1,45.1,0
20191117,001400,0,0.09,0,212.1,45,0
20191117,001500,0,0.09,0,212.1,45,0
20191117,001600,0,0.09,0,212.1,45,0
20191117,001700,0,0.09,0,212.1,45.1,0
20191117,001800,0,0.09,0,212.1,45.1,0
20191117,001900,0,0.09,0,212.1,45.2,0
20191117,002000,0,0.09,0,212.1,45.2,0
20191117,002100,0,0.09,0,212.1,45.2,0
20191117,002200,0,0.09,0,212.1,45.2,0
20191117,002300,0,0.09,0,212.1,45.2,0
20191117,002400,0,0.09,0,212.1,45.2,0
20191117,002500,0,0.09,0,212.1,45.2,0
20191117,002600,0,0.09,0,212.1,45.3,0
20191117,002700,0,0.09,0,212.1,45.3,0
20191117,002800,0,0.09,0,212.1,45.4,0
20191117,002900,0,0.09,0,212.1,45.4,0
20191117,003000,0,0.09,0,212.1,45.5,0
20191117,003100,0,0.09,0,212.1,45.5,0
20191117,003200,0,0.09,0,212.1,45.5,0
20191117,003300,0,0.09,0,212.1,45.5,0
20191117,003400,0,0.09,0,212.1,45.8,0
20191117,003500,0,0.09,0,212.1,45.8,0
20191117,003600,0,0.09,0,212.1,46.3,0
20191117,003700,0,0.09,0,212.1,46.3,0
20191117,003800,0,0.09,0,212.1,46.5,0
20191117,003900,0,0.09,0,212.1,46.5,0
20191117,004000,0,0.09,0,212.1,46.5,0
20191117,004100,0,0.09,0,212.1,46.5,0
20191117,004200,0,0.09,0,212.1,46.5,0
20191117,004300,0,0.09,0,212.1,46.5,0
20191117,004400,0,0.09,0,212.1,46.4,0
20191117,004500,0,0.09,0,212.1,46.4,0
20191117,004600,0,0.09,0,212.1,46.4,0
20191117,004700,0,0.09,0,212.1,46.4,0
20191117,004800,0,0.09,0,212.1,46.4,0
20191117,004900,0,0.09,0,212.1,46.4,0
20191117,005000,0,0.09,0,212.1,46.5,0
20191117,005100,0,0.09,0,212.1,46.5,0
20191117,005200,0,0.09,0,212.1,46.5,0
20191117,005300,0,0.09,0,212.1,46.3,0
20191117,005400,0,0.09,0,212.1,46.1,0
20191117,005500,0,0.09,0,212.1,45.9,0
20191117,005600,0,0.09,0,212.1,45.8,0
20191117,005700,0,0.09,0,212.1,45.8,0
20191117,005800,0,0.09,0,212.1,45.7,0
20191117,045000,7,0.1,0.07,217.2,484.9,6
20191117,045100,12,0.1,0.09,217.2,435.3,6
20191117,045200,18,0.12,0.1,217.2,492.8,7
20191117,045300,24,0.14,0.11,217.3,490.6,7
20191117,045400,29,0.16,0.12,216.9,473.3,7
20191117,045500,33,0.18,0.13,216.9,491.9,9
20191117,045600,39,0.2,0.14,216.9,498.3,9
20191117,045700,45,0.22,0.15,217,495.9,10
20191117,045800,51,0.26,0.17,217,477.7,12
20191117,045900,62,0.3,0.18,217,507.6,12
20191117,050000,69,0.34,0.2,216.9,508.2,13
20191117,050100,81,0.38,0.22,216.9,497.8,13
20191117,050200,90,0.42,0.24,216.9,514.2,16
20191117,050300,99,0.47,0.25,216.8,517.9,16
20191117,050400,108,0.51,0.26,216.7,518.9,18
20191117,050500,117,0.56,0.28,216.6,527.3,19
20191117,050600,129,0.6,0.29,216.3,522.1,19
20191117,050700,138,0.64,0.32,217.3,517.7,21
20191117,050800,147,0.69,0.33,217.3,528.1,22
20191117,050900,157,0.74,0.35,217.4,534.4,24
20191117,051000,171,0.79,0.37,217.5,528.8,24
20191117,051100,181,0.85,0.39,217.4,532.6,27
20191117,051200,193,0.9,0.41,217.4,529.9,27
20191117,051300,204,0.96,0.44,217.2,529.6,28
20191117,051400,216,1.01,0.47,217.1,522.7,31
20191117,051500,228,1.06,0.48,217.3,546.1,31
20191117,051600,240,1.13,0.51,217.2,534.5,33
20191117,051700,252,1.17,0.52,217.3,538.8,35
20191117,051800,267,1.23,0.55,217.3,537.8,36
20191117,051900,279,1.29,0.57,217.4,540.4,36
20191117,052000,240,1.21,0.59,217.4,518.5,38
20191117,052100,303,1.4,0.61,217.6,544,39
20191117,052200,313,1.45,0.63,217.6,545.1,41
20191117,052300,324,1.5,0.64,217.5,537.8,41
20191117,052400,333,1.54,0.67,217.6,536.5,42
20191117,052500,342,1.58,0.68,217.6,543.1,44
20191117,052600,354,1.63,0.69,217.7,541.9,47
20191117,052700,366,1.71,0.72,216.1,550,48
20191117,052800,390,1.82,0.75,216.2,554.2,51
20191117,052900,411,1.92,0.79,216.2,556.8,53
20191117,053000,438,2.04,0.84,216.1,556.4,56
20191117,053100,456,2.12,0.87,216.1,549.8,57
20191117,053200,474,2.21,0.89,216.1,561.2,59
20191117,053300,487,2.27,0.92,216.2,554.7,62
20191117,053400,503,2.33,0.93,216.2,563.7,65
20191117,053500,514,2.39,0.96,216.4,569.6,65
20191117,053600,527,2.44,0.98,216.5,564.6,68
20191117,053700,540,2.51,1.01,216.5,564.4,68
20191117,053800,557,2.57,1.04,216.4,559.6,71
20191117,053900,576,2.67,1.06,216.6,564.5,74
20191117,054000,593,2.74,1.09,216.7,569.4,74
20191117,054100,609,2.82,1.12,216.8,569,76
20191117,054200,621,2.87,1.14,216.7,569.6,77
20191117,054300,631,2.92,1.16,216.6,570,79
20191117,054400,636,2.94,1.17,216.6,569.8,80
20191117,054500,633,2.93,1.16,216.7,565.3,79
20191117,054600,636,2.95,1.18,216.8,568.8,80
20191117,054700,615,2.83,1.13,216.6,564.8,77
20191117,054800,570,2.64,1.08,216.6,557.3,71
20191117,054900,522,2.43,0.99,216.4,550.8,66
20191117,055000,468,2.17,0.88,216.2,555.5,57
20191117,055100,459,2.13,0.87,216.1,561,57
20191117,055200,453,2.11,0.88,216.1,551.2,57
20191117,055300,429,1.98,0.83,217.3,549.9,53
20191117,055400,438,2.03,0.84,217.4,550.3,54
20191117,055500,483,2.23,0.93,217.5,547.6,60
20191117,055600,540,2.49,1.04,217.7,545,68
20191117,055700,609,2.82,1.13,217.8,554.9,74
20191117,055800,738,3.4,1.38,218,562.1,89
20191117,055900,873,4.01,1.59,218.3,569.5,103
20191117,060000,999,4.58,1.8,218.4,571.1,118
20191117,060100,1001,4.61,1.81,218.2,570.7,120
20191117,060200,1056,4.89,1.91,218.2,572.3,126
20191117,060300,1131,5.2,2.03,218.1,573.3,132
20191117,060400,1164,5.33,2.09,218.4,570.8,137
20191117,060500,1180,5.42,2.12,218.5,574,135
20191117,060600,1246,5.71,2.23,218.5,574.6,144
20191117,060700,1299,5.95,2.32,218.6,570.4,150
20191117,060800,1338,6.12,2.39,218.7,571.2,155
20191117,060900,1374,6.29,2.43,218.8,579.5,158
20191117,061000,1410,6.44,2.5,219,573.6,161
20191117,061100,1449,6.62,2.57,219,579,167
20191117,061200,1482,6.82,2.63,217.7,581.8,170
20191117,061300,1518,6.99,2.65,217.7,581.5,176
20191117,061400,1560,7.18,2.78,217.7,578.5,178
20191117,061500,1599,7.35,2.84,217.6,574.3,182
20191117,061600,1632,7.53,2.91,217.5,576.5,187
20191117,061700,1674,7.71,2.95,217.6,576.5,190
20191117,061800,1707,7.88,2.98,217.6,578.1,194
20191117,061900,1749,8.02,3.08,217.8,582.3,199
20191117,062000,1791,8.22,3.16,217.6,581.2,203
20191117,062100,1833,8.42,3.24,217.8,574,208
20191117,062200,1872,8.61,3.32,217.9,575.4,213
20191117,062300,1914,8.79,3.36,217.9,579.5,216
20191117,062400,1956,8.98,3.44,217.9,575,222
20191117,062500,1995,9.18,3.5,217.8,575.2,225
20191117,062600,2035,9.38,3.57,217.7,576,232
20191117,062700,2079,9.55,3.68,217.7,577.6,234
20191117,062800,2121,9.76,3.76,217.6,576.7,240
20191117,062900,2163,9.95,3.86,217.7,573.4,243
20191117,063000,2205,10.14,3.94,217.6,571.2,249
20191117,063100,2238,10.29,4.03,217.6,562.7,254
20191117,063200,2295,10.54,4.06,217.8,573,257
20191117,063300,2336,10.73,4.13,217.8,573.6,260
