dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191221,000000,0,0.1,0,214.3,41,0
20191221,000100,0,0.1,0,214.3,41,0
20191221,000200,0,0.1,0,214.3,41,0
20191221,000300,0,0.1,0,214.3,40.8,0
20191221,000400,0,0.1,0,214.3,40.8,0
20191221,000500,0,0.1,0,214.3,40.7,0
20191221,000600,0,0.1,0,214.3,40.7,0
20191221,000700,0,0.1,0,214.3,40.7,0
20191221,000800,0,0.1,0,214.3,40.7,0
20191221,000900,0,0.1,0,214.3,40.6,0
20191221,001000,0,0.1,0,214.3,40.6,0
20191221,001100,0,0.1,0,214.3,40.4,0
20191221,001200,0,0.1,0,214.3,40.4,0
20191221,001300,0,0.1,0,214.3,40.2,0
20191221,001400,0,0.1,0,214.3,40.2,0
20191221,001500,0,0.1,0,214.3,40.3,0
20191221,001600,0,0.1,0,214.3,40.3,0
20191221,001700,0,0.1,0,214.3,40.6,0
20191221,001800,0,0.1,0,214.3,40.6,0
20191221,001900,0,0.1,0,214.3,40.8,0
20191221,002000,0,0.1,0,214.3,40.8,0
20191221,002100,0,0.1,0,214.3,40.7,0
20191221,002200,0,0.1,0,214.3,40.7,0
20191221,002300,0,0.1,0,214.3,40.7,0
20191221,002400,0,0.1,0,214.3,40.7,0
20191221,002500,0,0.1,0,214.3,40.6,0
20191221,002600,0,0.1,0,214.3,40.7,0
20191221,002700,0,0.1,0,214.3,40.7,0
20191221,002800,0,0.1,0,214.3,40.7,0
20191221,002900,0,0.1,0,214.3,40.8,0
20191221,003000,0,0.1,0,214.3,40.8,0
20191221,003100,0,0.1,0,214.3,40.7,0
20191221,003200,0,0.1,0,214.3,40.8,0
20191221,003300,0,0.1,0,214.3,41,0
20191221,003400,0,0.1,0,214.3,41.3,0
20191221,003500,0,0.1,0,214.3,41.5,0
20191221,003600,0,0.1,0,214.3,41.8,0
20191221,003700,0,0.1,0,214.3,41.9,0
20191221,003800,0,0.1,0,214.3,42.1,0
20191221,003900,0,0.1,0,214.3,42.1,0
20191221,004000,0,0.1,0,214.3,42,0
20191221,004100,0,0.1,0,214.3,42,0
20191221,004200,0,0.1,0,214.3,41.8,0
20191221,004300,0,0.1,0,214.3,41.8,0
20191221,004400,0,0.1,0,214.3,41.9,0
20191221,004500,0,0.1,0,214.3,41.9,0
20191221,004600,0,0.1,0,214.3,42,0
20191221,004700,0,0.1,0,214.3,42,0
20191221,004800,0,0.1,0,214.3,42.2,0
20191221,004900,0,0.1,0,214.3,42.2,0
20191221,005000,0,0.1,0,214.3,42.1,0
20191221,005100,0,0.1,0,214.3,42.1,0
20191221,005200,0,0.1,0,214.3,42.1,0
20191221,005300,0,0.1,0,214.3,42.1,0
20191221,005400,0,0.1,0,214.3,42,0
20191221,005500,0,0.1,0,214.3,42,0
20191221,005600,0,0.1,0,214.3,42,0
20191221,005700,0,0.1,0,214.3,42,0
20191221,045400,0,0.07,0.06,218.6,469.6,3
20191221,045500,0,0.07,0.07,218.6,459.1,4
20191221,045600,0,0.08,0.07,217.3,455.2,4
20191221,045700,6,0.08,0.08,217.2,447.6,4
20191221,045800,10,0.1,0.09,217.2,445.5,6
20191221,045900,18,0.12,0.11,217.2,464.2,7
20191221,050000,27,0.16,0.12,217.3,479.5,7
20191221,050100,37,0.19,0.14,217.3,482.1,7
20191221,050200,48,0.23,0.15,217.5,494.3,9
20191221,050300,57,0.28,0.18,217.2,486.7,10
20191221,050400,66,0.32,0.2,217.5,492.5,12
20191221,050500,72,0.35,0.21,217.5,491.3,13
20191221,050600,81,0.38,0.22,217.4,499.7,9
20191221,050700,88,0.42,0.24,217.1,495,16
20191221,050800,95,0.45,0.25,217.4,488,15
20191221,050900,105,0.5,0.26,217.5,499.4,16
20191221,051000,114,0.53,0.29,217.7,495.4,18
20191221,051100,123,0.57,0.3,217.7,502.5,18
20191221,051200,132,0.62,0.32,217.8,511.6,19
20191221,051300,144,0.67,0.34,217.6,510.4,21
20191221,051400,156,0.73,0.36,217.6,500.5,22
20191221,051500,168,0.78,0.38,217.8,517.1,22
20191221,051600,180,0.84,0.41,217.7,516,24
20191221,051700,189,0.89,0.42,217.7,510.4,28
20191221,051800,199,0.92,0.44,217.6,520,27
20191221,051900,208,0.96,0.46,217.6,511.8,27
20191221,052000,213,1,0.47,217.6,519.9,28
20191221,052100,222,1.03,0.47,218.7,526.3,31
20191221,052200,231,1.07,0.5,218.6,520.5,30
20191221,052300,241,1.11,0.51,218.9,524.5,31
20191221,052400,252,1.16,0.54,218.8,525,31
20191221,052500,264,1.21,0.55,218.8,521.3,33
20191221,052600,273,1.26,0.57,219,525,35
20191221,052700,282,1.3,0.58,219,533.5,36
20191221,052800,293,1.35,0.6,219,526,36
20191221,052900,301,1.39,0.63,218.8,524.8,38
20191221,053000,310,1.42,0.64,219.2,534.4,38
20191221,053100,321,1.47,0.66,219.2,528.9,39
20191221,053200,330,1.52,0.67,219.1,531,41
20191221,053300,339,1.56,0.69,218.8,530,42
20191221,053400,345,1.59,0.7,219,531.5,42
20191221,053500,354,1.62,0.72,219.1,533.6,42
20191221,053600,363,1.66,0.73,219.2,533,44
20191221,053700,372,1.71,0.75,219,530,44
20191221,053800,375,1.73,0.76,217.9,529.4,44
20191221,053900,375,1.73,0.75,217.9,533.8,44
20191221,054000,378,1.74,0.76,217.7,534.7,44
20191221,054100,387,1.78,0.77,217.9,529.9,45
20191221,054200,400,1.85,0.81,217.9,535.1,47
20191221,054300,408,1.89,0.81,217.9,539.4,47
20191221,054400,411,1.91,0.82,217.6,535.1,47
20191221,054500,426,1.96,0.84,217.7,535.3,48
20191221,054600,438,2.02,0.86,217.6,539.2,50
20191221,054700,453,2.1,0.89,217.7,540.3,53
20191221,054800,474,2.19,0.93,217.3,544.9,53
20191221,054900,471,2.18,0.92,217.6,539.4,53
20191221,055000,462,2.12,0.9,217.6,539.2,51
20191221,055100,438,2.01,0.86,217.3,535,48
20191221,055200,405,1.87,0.81,217.6,531.2,47
20191221,055300,396,1.83,0.79,217.5,534.3,45
20191221,055400,404,1.87,0.81,217.6,538.9,48
20191221,055500,480,2.22,0.95,217.4,536,54
20191221,055600,558,2.57,1.08,217.8,538.8,62
20191221,055700,588,2.72,1.14,217.8,539,65
20191221,055800,621,2.87,1.21,217.7,541.8,70
20191221,055900,660,3.06,1.28,217.3,540.3,74
20191221,060000,627,2.89,1.21,217.4,539.4,71
20191221,060100,585,2.7,1.13,217.3,539,65
20191221,060200,573,2.65,1.11,217.1,538.8,63
20191221,060300,570,2.63,1.11,217.2,538.6,63
20191221,060400,612,2.82,1.19,218.6,539.9,68
20191221,060500,801,3.68,1.55,218.8,552.9,83
20191221,060600,951,4.38,1.75,218.7,562.1,98
20191221,060700,1038,4.75,1.93,219.2,555.8,108
20191221,060800,1164,5.31,2.11,219.4,564.2,117
20191221,060900,1106,5.04,2.04,219.3,557.9,114
20191221,061000,1137,5.2,2.12,219.2,556.9,117
20191221,061100,1236,5.63,2.24,219.6,560.6,124
20191221,061200,1245,5.67,2.27,219.6,562.8,126
