dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20200125,000100,0,5.83,0.19,0,0,48.11,0.13,0,0,0.45,20.62,180,0,0
20200125,000200,0,5.69,0.19,0,0,46.98,0.13,0,0,0.44,20.62,180,0,0
20200125,000300,0,5.93,0.2,0,0,48.9,0.13,0,0,0.45,20.5,180,0,0
20200125,000400,0,5.45,0.18,0,0,45,0.12,0,0,0.46,20.62,180,0,0
20200125,000500,0,5.58,0.19,0,0,46.03,0.13,0,0,0.46,20.44,180,0,0
20200125,000600,0,6.77,0.23,0,0,55.84,0.15,0,0,0.46,20.5,180,0,0
20200125,000700,0,6.4,0.21,0,0,52.79,0.15,0,0,0.47,20.56,180,0,0
20200125,000800,0,5.59,0.19,0,0,46.08,0.13,0,0,0.45,20.62,180,0,0
20200125,000900,0,6.32,0.21,0,0,52.13,0.14,0,0,0.46,20.69,180,0,0
20200125,001100,0,5.18,0.17,0,0,42.71,0.12,0,0,0.45,20.69,180,0,0
20200125,001200,0,5.6,0.19,0,0,46.17,0.13,0,0,0.46,20.56,180,0,0
20200125,001300,0,5.76,0.19,0,0,47.55,0.13,0,0,0.44,20.5,180,0,0
20200125,001400,0,5.92,0.2,0,0,48.84,0.13,0,0,0.44,20.44,180,0,0
20200125,001500,0,5.58,0.19,0,0,46,0.13,0,0,0.45,20.5,180,0,0
20200125,001600,0,4.95,0.16,0,0,40.88,0.11,0,0,0.45,20.44,180,0,0
20200125,001700,0,5.54,0.18,0,0,45.7,0.13,0,0,0.43,20.38,180,0,0
20200125,001800,0,4.83,0.16,0,0,39.83,0.11,0,0,0.44,20.94,180,0,0
20200125,001900,0,4.35,0.14,0,0,35.86,0.1,0,0,0.44,21.12,180,0,0
20200125,002000,0,4.63,0.15,0,0,38.19,0.1,0,0,0.44,20.94,180,0,0
20200125,002100,0,4.18,0.14,0,0,34.51,0.09,0,0,0.43,21,180,0,0
20200125,002200,0,4.11,0.14,0,0,33.92,0.09,0,0,0.43,21.19,180,1.33,0
20200125,002300,0,4.6,0.15,0,0,37.97,0.1,0,0,0.44,20.94,180,0,0
20200125,002400,0,4.04,0.13,0,0,33.3,0.09,0,0,0.44,21.12,180,0,0
20200125,002500,0,4.39,0.15,0,0,36.19,0.1,0,0,0.43,21,180,0,0
20200125,002600,0,4.15,0.14,0,0,34.25,0.09,0,0,0.44,21.06,180,0,0
20200125,002700,0,4.01,0.13,0,0,33.09,0.09,0,0,0.46,21.19,180,0,0
20200125,002800,0,3.42,0.11,0,0,28.18,0.08,0,0,0.46,21.12,180,0,0
20200125,002900,0,3.53,0.12,0,0,29.1,0.08,0,0,0.48,21.25,180,0,0
20200125,003000,0,3.61,0.12,0,0,29.77,0.08,0,0,0.48,21.31,180,0,0
20200125,003100,0,3.98,0.13,0,0,32.87,0.09,0,0,0.47,21.19,180,0,0
20200125,003200,0,3.44,0.11,0,0,28.39,0.08,0,0,0.47,21.12,180,0,0
20200125,003300,0,3.06,0.1,0,0,25.24,0.07,0,0,0.46,21.38,180,0,0
20200125,003400,0,3.88,0.13,0,0,32.02,0.09,0,0,0.46,21.38,180,0,0
20200125,003500,0,3.68,0.12,0,0,30.37,0.08,0,0,0.45,21.38,180,0,0
20200125,003600,0,3.19,0.11,0,0,26.29,0.07,0,0,0.45,21.31,180,0,0
20200125,003700,0,3.5,0.12,0,0,28.87,0.08,0,0,0.45,21.19,180,0,0
