dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191007,052500,6,0.09,0.07,217.4,476.7,6
20191007,052600,12,0.1,0.09,217.4,473.9,6
20191007,052700,18,0.12,0.1,217.3,488.9,6
20191007,052800,24,0.14,0.11,217.3,479.1,7
20191007,052900,33,0.17,0.13,217.4,490.2,7
20191007,053000,39,0.21,0.14,217.4,503,9
20191007,053100,48,0.24,0.16,217.3,499.4,10
20191007,053200,57,0.29,0.18,217.4,504,10
20191007,053300,66,0.33,0.2,217.2,504.3,12
20191007,053400,75,0.36,0.21,217.3,508.1,12
20191007,053500,83,0.4,0.22,217.4,506.2,13
20191007,053600,99,0.46,0.25,217.2,507.2,15
20191007,053700,111,0.52,0.27,217.2,508.7,15
20191007,053800,121,0.57,0.29,217.1,510.9,18
20191007,053900,138,0.65,0.32,217.1,518.7,19
20191007,054000,141,0.67,0.33,216.8,514.4,19
20191007,054100,132,0.62,0.3,216.8,523.3,19
20191007,054200,123,0.57,0.28,216.7,523.6,18
20191007,054300,111,0.52,0.27,216.7,506,16
20191007,054400,114,0.53,0.27,216.9,518.4,16
20191007,054500,117,0.55,0.28,217,513,16
20191007,054600,135,0.63,0.32,217.2,504,18
20191007,054700,162,0.75,0.36,217.2,529,21
20191007,054800,180,0.85,0.39,217.2,533.3,24
20191007,054900,213,0.99,0.45,217.4,537.1,25
20191007,055000,231,1.08,0.49,217.4,536,28
20191007,055100,240,1.12,0.5,217.3,534.9,28
20191007,055200,242,1.12,0.5,217.3,529.3,30
20191007,055300,231,1.07,0.47,217.3,540.8,28
20191007,055400,228,1.06,0.47,217.2,542.2,27
20191007,055500,231,1.08,0.49,217.1,538.5,27
20191007,055600,231,1.06,0.48,217.2,533.6,28
20191007,055700,240,1.12,0.5,217.5,536.5,28
20191007,055800,255,1.17,0.52,217.6,535.5,30
20191007,055900,255,1.19,0.51,217.7,539,30
20191007,060000,268,1.24,0.55,217.6,532.5,31
20191007,060100,279,1.29,0.56,217.4,534.7,33
20191007,060200,267,1.24,0.55,217.3,530.2,30
20191007,060300,257,1.2,0.52,217.1,543.4,30
20191007,060400,267,1.24,0.55,216.9,537.2,31
20191007,060500,291,1.35,0.6,216.9,536.2,35
20191007,060600,294,1.37,0.59,216.8,535,35
20191007,060700,292,1.36,0.59,216.7,538.3,35
20191007,060800,274,1.28,0.55,216.6,537.6,31
20191007,060900,264,1.22,0.54,216.3,528.6,30
20191007,061000,267,1.25,0.54,216.2,538.6,30
20191007,061100,288,1.34,0.59,216.6,533.1,33
20191007,061200,289,1.35,0.59,216.6,534.9,33
20191007,061300,306,1.42,0.62,216.6,540.4,36
20191007,061400,319,1.49,0.64,216.7,539.9,36
20191007,061500,354,1.65,0.7,216.5,540,41
20191007,061600,345,1.6,0.68,216.6,540,39
20191007,061700,349,1.63,0.69,216.1,541.4,41
20191007,061800,362,1.68,0.71,216.2,542.3,41
20191007,061900,391,1.82,0.76,216.2,550.2,44
20191007,062000,387,1.81,0.76,216.6,544.3,44
20191007,062100,404,1.87,0.79,216.6,540.6,45
20191007,062200,423,1.97,0.83,216.6,547,47
20191007,062300,423,1.96,0.82,216.6,540.3,48
20191007,062400,414,1.92,0.81,216.6,545,47
20191007,062500,411,1.91,0.8,216.4,550,45
20191007,062600,363,1.69,0.72,216.2,542,41
20191007,062700,315,1.47,0.64,216.3,540.2,36
20191007,062800,321,1.5,0.65,216.4,539.9,38
20191007,062900,327,1.52,0.65,216.5,540.1,38
20191007,063000,324,1.5,0.65,216.6,538.7,38
20191007,063100,327,1.51,0.65,216.6,544.5,38
20191007,063200,345,1.62,0.69,216.5,541.6,39
20191007,063300,384,1.79,0.76,216.5,542.6,42
20191007,063400,435,2.01,0.83,216.9,553.4,48
20191007,063500,462,2.13,0.88,217,546.2,50
20191007,063600,363,1.68,0.85,217.3,426.1,51
20191007,063700,495,2.29,0.95,217.5,554.9,54
20191007,063800,519,2.4,0.99,217.6,553.8,56
20191007,063900,528,2.44,1,217.4,553.5,57
20191007,064000,558,2.58,1.06,217.5,552.5,60
20191007,064100,611,2.81,1.14,218.5,555.6,65
20191007,064200,603,2.76,1.13,218.5,554.9,65
20191007,064300,594,2.74,1.12,218.6,555,63
20191007,064400,570,2.61,1.07,218.5,554.6,62
20191007,064500,516,2.38,0.98,217.1,554.1,56
20191007,064600,495,2.28,0.94,216.9,549,54
20191007,064700,491,2.27,0.93,216.9,545.3,54
20191007,064800,477,2.21,0.92,216.8,549.5,53
20191007,064900,462,2.13,0.88,216.7,546.1,51
20191007,065000,453,2.11,0.87,216.4,549.9,50
20191007,065100,504,2.33,0.96,216.6,554.6,54
20191007,065200,516,2.39,0.98,216.5,554.4,56
20191007,065300,516,2.39,0.98,216.4,553.6,56
20191007,065400,516,2.39,0.98,216.4,552.2,56
20191007,065500,504,2.34,0.97,216.4,552.9,54
20191007,065600,555,2.57,1.05,216.6,554.2,60
20191007,065700,523,2.42,0.99,216.6,550.3,56
20191007,065800,537,2.48,1.02,216.8,550.1,57
20191007,065900,552,2.56,1.05,216.7,554.6,59
20191007,070000,525,2.43,1.01,216.5,545.3,57
20191007,070100,502,2.32,0.96,216.4,553.2,54
20191007,070200,489,2.28,0.94,216.3,549.5,53
20191007,070300,495,2.29,0.95,216.2,550,53
20191007,070400,500,2.32,0.96,216.1,548.9,54
20191007,070500,468,2.16,0.89,216,547.1,51
20191007,070600,456,2.12,0.87,215.6,548.1,50
20191007,070700,447,2.09,0.86,215.7,547.9,50
20191007,070800,461,2.15,0.88,215.7,550,51
20191007,070900,483,2.24,0.93,215.8,545.1,53
