dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191121,000000,0,0.09,0,213.6,39.5,0
20191121,000100,0,0.09,0,213.6,39.5,0
20191121,000200,0,0.09,0,213.6,39.6,0
20191121,000300,0,0.09,0,213.6,39.6,0
20191121,000400,0,0.09,0,213.6,39.7,0
20191121,000500,0,0.09,0,213.6,39.7,0
20191121,000600,0,0.09,0,213.6,39.7,0
20191121,000700,0,0.09,0,213.6,39.7,0
20191121,000800,0,0.09,0,213.6,39.6,0
20191121,000900,0,0.09,0,213.6,39.6,0
20191121,001000,0,0.09,0,213.6,39.5,0
20191121,001100,0,0.09,0,213.6,39.5,0
20191121,001200,0,0.09,0,213.6,40,0
20191121,001300,0,0.09,0,213.6,40,0
20191121,001400,0,0.09,0,213.6,40.3,0
20191121,001500,0,0.09,0,213.6,40.3,0
20191121,001600,0,0.09,0,213.6,40.4,0
20191121,001700,0,0.09,0,213.6,40.4,0
20191121,001800,0,0.09,0,213.6,40.4,0
20191121,001900,0,0.09,0,213.6,40.4,0
20191121,002000,0,0.09,0,213.6,40.6,0
20191121,002100,0,0.09,0,213.6,40.6,0
20191121,002200,0,0.09,0,213.6,40.6,0
20191121,002300,0,0.09,0,213.6,40.6,0
20191121,002400,0,0.09,0,213.6,40.6,0
20191121,002500,0,0.09,0,213.6,40.7,0
20191121,002600,0,0.09,0,213.6,40.7,0
20191121,002700,0,0.09,0,213.6,40.6,0
20191121,002800,0,0.09,0,213.6,40.6,0
20191121,002900,0,0.09,0,213.6,40.3,0
20191121,003000,0,0.09,0,213.6,40.1,0
20191121,003100,0,0.09,0,213.6,40,0
20191121,003200,0,0.09,0,213.6,40,0
20191121,003300,0,0.09,0,213.6,40.1,0
20191121,003400,0,0.09,0,213.6,40.1,0
20191121,003500,0,0.09,0,213.6,40.1,0
20191121,003600,0,0.09,0,213.6,40.1,0
20191121,003700,0,0.09,0,213.6,40.1,0
20191121,003800,0,0.09,0,213.6,40.1,0
20191121,003900,0,0.09,0,213.6,40.2,0
20191121,004000,0,0.09,0,213.6,40.2,0
20191121,004100,0,0.09,0,213.6,40.1,0
20191121,004200,0,0.09,0,213.6,40.1,0
20191121,004300,0,0.09,0,213.6,40.3,0
20191121,004400,0,0.09,0,213.6,40.3,0
20191121,004500,0,0.09,0,213.6,40.4,0
20191121,004600,0,0.09,0,213.6,40.4,0
20191121,004700,0,0.09,0,213.6,40.4,0
20191121,004800,0,0.09,0,213.6,40.4,0
20191121,004900,0,0.09,0,213.6,40.6,0
20191121,005000,0,0.09,0,213.6,40.6,0
20191121,005100,0,0.09,0,213.6,40.8,0
20191121,005200,0,0.09,0,213.6,40.8,0
20191121,005300,0,0.09,0,213.6,40.9,0
20191121,005400,0,0.09,0,213.6,40.9,0
20191121,005500,0,0.09,0,213.6,41.2,0
20191121,005600,0,0.09,0,213.6,41.2,0
20191121,005700,0,0.09,0,213.6,41.2,0
20191121,005800,0,0.09,0,213.6,41.2,0
20191121,045000,8,0.09,0.08,216.2,481.1,6
20191121,045100,15,0.1,0.08,216.3,479.7,6
20191121,045200,18,0.12,0.1,216.3,472.8,7
20191121,045300,24,0.14,0.11,216.3,467.7,7
20191121,045400,33,0.17,0.13,216,456.2,9
20191121,045500,39,0.2,0.14,216.3,494.9,9
20191121,045600,48,0.23,0.15,216.4,496.4,10
20191121,045700,54,0.26,0.16,217,498.9,10
20191121,045800,60,0.3,0.18,217.1,490.8,12
20191121,045900,69,0.33,0.19,217.1,501.2,13
20191121,050000,75,0.36,0.21,217.1,498.9,13
20191121,050100,83,0.4,0.22,217.1,503.2,15
20191121,050200,90,0.43,0.24,216.9,507.7,15
20191121,050300,99,0.43,0.24,216.9,507.7,16
20191121,050400,105,0.5,0.26,216.8,504.2,18
20191121,050500,114,0.54,0.28,217,507.7,18
20191121,050600,120,0.57,0.29,217.1,505.8,19
20191121,050700,132,0.61,0.31,217.1,514.3,19
20191121,050800,138,0.65,0.32,217.1,513.4,19
20191121,050900,147,0.69,0.33,217.2,517.8,21
20191121,051000,156,0.72,0.35,217.3,519.5,22
20191121,051100,162,0.76,0.36,217.3,521.9,22
20191121,051200,171,0.8,0.38,217.3,518.2,24
20191121,051300,177,0.83,0.39,217.4,525.9,24
20191121,051400,186,0.86,0.4,217.4,527,25
20191121,051500,192,0.9,0.42,216,523.6,27
20191121,051600,198,0.93,0.43,216,522.7,28
20191121,051700,204,0.96,0.44,215.8,527.8,28
20191121,051800,213,1,0.44,216,531.9,28
20191121,051900,219,1.01,0.47,216,517.9,30
20191121,052000,225,1.05,0.47,215.9,535,30
20191121,052100,234,1.09,0.49,215.6,527.7,30
20191121,052200,240,1.12,0.5,215.9,532.7,31
20191121,052300,246,1.15,0.51,215.9,533.1,33
20191121,052400,254,1.18,0.52,216,533.3,33
20191121,052500,260,1.21,0.52,216.1,533,33
20191121,052600,270,1.26,0.55,216.2,537.7,33
20191121,052700,282,1.32,0.56,216.1,538.2,36
20191121,052800,303,1.4,0.6,216.1,538.1,38
20191121,052900,315,1.47,0.62,216.3,551.6,38
20191121,053000,330,1.53,0.64,216.1,552.6,39
20191121,053100,339,1.58,0.66,216.4,554.9,39
20191121,053200,354,1.64,0.69,216.6,554.5,41
20191121,053300,368,1.71,0.7,216.6,557.2,41
20191121,053400,384,1.78,0.72,216.2,559.4,42
20191121,053500,399,1.86,0.76,216.4,560.1,44
20191121,053600,417,1.93,0.79,216.4,561.2,45
20191121,053700,433,2.01,0.81,216.4,561.8,47
20191121,053800,451,2.09,0.85,216.4,557.7,48
20191121,053900,465,2.17,0.88,216.4,562.4,50
20191121,054000,486,2.25,0.91,216.3,559.2,51
20191121,054100,498,2.34,0.94,216.2,563.1,54
20191121,054200,520,2.42,0.97,216.3,560.5,54
20191121,054300,543,2.51,1.01,217.4,566.8,56
20191121,054400,564,2.6,1.05,217.6,566.3,59
20191121,054500,585,2.7,1.08,217.5,565.2,59
20191121,054600,606,2.79,1.12,217.7,564.3,62
20191121,054700,627,2.91,1.16,217.8,567.7,65
20191121,054800,662,3.05,1.22,217.7,563.4,66
20191121,054900,693,3.18,1.28,217.8,562.9,70
20191121,055000,714,3.3,1.3,217.6,571.6,70
20191121,055100,743,3.39,1.37,217.9,558.8,74
20191121,055200,774,3.55,1.4,217.9,568.5,77
20191121,055300,801,3.68,1.47,218,564.7,79
20191121,055400,831,3.82,1.49,217.9,568.5,82
20191121,055500,858,3.94,1.54,217.9,569.5,83
20191121,055600,882,4.05,1.6,217.9,570.5,88
