dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191130,045600,12,0.1,0.1,219.4,423.2,6
20191130,045700,21,0.13,0.11,219.4,453.8,6
20191130,045800,32,0.17,0.13,219.3,478.6,9
20191130,045900,42,0.22,0.16,219.5,479.1,10
20191130,050000,57,0.28,0.18,219.6,485.4,12
20191130,050100,72,0.33,0.2,219.6,498.9,12
20191130,050200,81,0.38,0.23,219.6,494.8,13
20191130,050300,90,0.43,0.24,218.2,498.9,15
20191130,050400,99,0.46,0.25,217.7,508.2,16
20191130,050500,105,0.5,0.27,218,509.1,16
20191130,050600,114,0.53,0.28,218,507.7,18
20191130,050700,122,0.57,0.3,218.1,502.9,19
20191130,050800,129,0.6,0.31,218.1,508.7,18
20191130,050900,134,0.63,0.33,218,500.2,21
20191130,051000,138,0.66,0.33,217.9,507.8,19
20191130,051100,147,0.68,0.34,217.9,505.9,21
20191130,051200,151,0.7,0.36,218,506.4,21
20191130,051300,156,0.73,0.36,218,507.9,22
20191130,051400,165,0.77,0.37,218,509.5,24
20191130,051500,171,0.79,0.39,218,503.9,24
20191130,051600,171,0.78,0.38,218.2,518.5,25
20191130,051700,164,0.77,0.38,218,499.2,24
20191130,051800,159,0.74,0.37,218.1,508.1,22
20191130,051900,157,0.73,0.36,218.1,509.4,24
20191130,052000,157,0.74,0.37,218.1,505.7,22
20191130,052100,165,0.76,0.38,218.2,504,22
20191130,052200,168,0.78,0.38,218.1,512.5,22
20191130,052300,177,0.82,0.4,218.1,511.4,24
20191130,052400,184,0.86,0.42,218.1,510.2,25
20191130,052500,195,0.91,0.43,218,514,27
20191130,052600,204,0.95,0.45,218,517.2,28
20191130,052700,213,0.99,0.47,217.9,509.4,28
20191130,052800,222,1.01,0.48,219.3,524.5,30
20191130,052900,228,1.05,0.49,219.5,519.9,30
20191130,053000,234,1.08,0.51,219.2,511.5,30
20191130,053100,242,1.11,0.52,219.4,514.5,31
20191130,053200,252,1.16,0.53,219.3,522.9,33
20191130,053300,264,1.21,0.55,219.4,525.9,35
20191130,053400,273,1.26,0.57,219.4,519.3,35
