dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191231,000000,0,0.1,0,215.9,43.7,0
20191231,000100,0,0.1,0,215.9,43.9,0
20191231,000200,0,0.1,0,215.9,44,0
20191231,000300,0,0.1,0,215.9,44,0
20191231,000400,0,0.1,0,215.9,44.1,0
20191231,000500,0,0.1,0,215.9,44.1,0
20191231,000600,0,0.1,0,215.9,44,0
20191231,000700,0,0.1,0,215.9,43.8,0
20191231,000800,0,0.1,0,215.9,43.6,0
20191231,000900,0,0.1,0,215.9,43.5,0
20191231,001000,0,0.1,0,215.9,43.4,0
20191231,001100,0,0.1,0,215.9,43.3,0
20191231,001200,0,0.1,0,215.9,43.5,0
20191231,001300,0,0.1,0,215.9,43.6,0
20191231,001400,0,0.1,0,215.9,43.7,0
20191231,001500,0,0.1,0,215.9,43.7,0
20191231,001600,0,0.1,0,215.9,43.8,0
20191231,001700,0,0.1,0,215.9,44,0
20191231,001800,0,0.1,0,215.9,44.1,0
20191231,001900,0,0.1,0,215.9,44.1,0
20191231,002000,0,0.1,0,215.9,44.2,0
20191231,002100,0,0.1,0,215.9,44.2,0
20191231,002200,0,0.1,0,215.9,44.2,0
20191231,002300,0,0.1,0,215.9,44.2,0
20191231,002400,0,0.1,0,215.9,44.3,0
20191231,002500,0,0.1,0,215.9,44.3,0
20191231,002600,0,0.1,0,215.9,44.4,0
20191231,002700,0,0.1,0,215.9,44.4,0
20191231,002800,0,0.1,0,215.9,44.7,0
20191231,002900,0,0.1,0,215.9,44.7,0
20191231,003000,0,0.1,0,215.9,44.8,0
20191231,003100,0,0.1,0,215.9,44.8,0
20191231,003200,0,0.1,0,215.9,45,0
20191231,003300,0,0.1,0,215.9,45,0
20191231,003400,0,0.1,0,215.9,45.1,0
20191231,003500,0,0.1,0,215.9,45.1,0
20191231,003600,0,0.1,0,215.9,44.9,0
20191231,003700,0,0.1,0,215.9,44.9,0
20191231,003800,0,0.1,0,215.9,44.5,0
20191231,003900,0,0.1,0,215.9,44.5,0
20191231,004000,0,0.1,0,215.9,44.2,0
20191231,004100,0,0.1,0,215.9,44.2,0
20191231,004200,0,0.1,0,215.9,44.1,0
20191231,004300,0,0.1,0,215.9,44.1,0
20191231,004400,0,0.1,0,215.9,44.1,0
20191231,004500,0,0.1,0,215.9,44.2,0
20191231,004600,0,0.1,0,215.9,44.3,0
20191231,004700,0,0.1,0,215.9,44.4,0
20191231,004800,0,0.1,0,215.9,44.5,0
20191231,004900,0,0.1,0,215.9,44.6,0
20191231,005000,0,0.1,0,215.9,44.7,0
20191231,005100,0,0.1,0,215.9,44.7,0
20191231,005200,0,0.1,0,215.9,44.7,0
20191231,005300,0,0.1,0,215.9,44.8,0
20191231,005400,0,0.1,0,215.9,44.9,0
20191231,005500,0,0.1,0,215.9,45.1,0
20191231,005600,0,0.1,0,215.9,45.2,0
20191231,050100,12,0.1,0.09,219,450.6,6
20191231,050200,15,0.11,0.1,219.1,468.1,7
20191231,050300,23,0.13,0.11,219.1,467.9,7
20191231,050400,30,0.16,0.12,218.8,485.9,9
20191231,050500,36,0.18,0.13,219,486.8,9
20191231,050600,42,0.21,0.15,219,486.8,10
20191231,050700,48,0.24,0.16,219,500.9,10
20191231,050800,57,0.27,0.17,218.8,491,12
20191231,050900,60,0.3,0.18,219,502,12
20191231,051000,69,0.33,0.19,218.8,501.9,13
20191231,051100,72,0.36,0.2,219.1,500.5,15
20191231,051200,78,0.37,0.22,219.1,499.8,13
20191231,051300,81,0.39,0.22,219,507,15
20191231,051400,88,0.42,0.23,219,498.7,15
20191231,051500,99,0.46,0.25,219.2,506.3,16
20191231,051600,111,0.52,0.28,219.2,504,18
20191231,051700,123,0.58,0.3,219.2,513,19
20191231,051800,138,0.64,0.33,219.2,511.3,21
20191231,051900,151,0.71,0.35,219,518.1,22
20191231,052000,168,0.78,0.38,219.2,518.6,27
20191231,052100,191,0.88,0.42,219.1,514.3,27
20191231,052200,213,0.99,0.47,219.1,515.4,30
20191231,052300,231,1.07,0.49,219.1,523.9,31
20191231,052400,240,1.11,0.51,219.1,523,35
20191231,052500,246,1.13,0.52,219.3,532,33
20191231,052600,246,1.14,0.52,219.4,527.6,35
20191231,052700,250,1.15,0.53,219.3,528.1,35
20191231,052800,255,1.17,0.53,219.3,533.2,36
20191231,052900,261,1.2,0.55,219.1,526.2,38
20191231,053000,267,1.23,0.55,219.4,528.5,36
20191231,053100,273,1.26,0.58,219.1,532.1,38
20191231,053200,286,1.31,0.59,219.3,531.7,41
20191231,053300,297,1.37,0.61,219.3,530.4,41
20191231,053400,312,1.43,0.63,219.2,533.9,41
20191231,053500,332,1.53,0.67,219.3,534.1,45
20191231,053600,357,1.64,0.71,219.4,534.8,45
20191231,053700,378,1.74,0.75,219.4,535.9,48
20191231,053800,390,1.79,0.77,219.3,533.1,50
20191231,053900,396,1.82,0.79,219.3,537.5,50
20191231,054000,396,1.8,0.78,219.4,539.9,50
20191231,054100,386,1.76,0.77,219.5,533.8,48
20191231,054200,378,1.72,0.75,219.5,534,47
20191231,054300,372,1.71,0.74,219.5,540.6,45
20191231,054400,372,1.7,0.73,219.1,543.5,48
20191231,054500,378,1.73,0.74,219.3,551.9,48
20191231,054600,387,1.78,0.76,219.4,552.4,50
20191231,054700,396,1.81,0.77,219.3,548.3,51
20191231,054800,405,1.85,0.78,219.3,548.6,53
20191231,054900,417,1.91,0.79,219.3,557.1,54
20191231,055000,435,1.99,0.83,219.3,553.6,56
20191231,055100,452,2.07,0.84,219.3,561.2,59
20191231,055200,468,2.15,0.88,219,562,62
20191231,055300,486,2.22,0.91,218.9,562.6,63
20191231,055400,507,2.32,0.95,219,562.8,66
20191231,055500,528,2.43,0.99,219,564.6,70
20191231,055600,549,2.52,1.01,219,567.6,73
20191231,055700,573,2.63,1.07,219.1,561.3,76
20191231,055800,594,2.72,1.09,219,560.7,79
20191231,055900,609,2.78,1.12,219.3,563.5,80
20191231,060000,591,2.69,1.09,219.3,562.9,77
20191231,060100,561,2.57,1.06,219,553.1,73
20191231,060200,579,2.65,1.08,219.2,563,74
20191231,060300,636,2.91,1.18,219,558.2,82
20191231,060400,711,3.24,1.33,219,552.9,91
20191231,060500,759,3.48,1.47,218.9,540.7,98
20191231,060600,792,3.64,1.51,219,541.6,101
20191231,060700,841,3.85,1.6,219,543.5,106
20191231,060800,888,4.07,1.68,219.3,544.6,111
20191231,060900,942,4.29,1.73,219.4,558.2,115
20191231,061000,978,4.47,1.79,219.4,558.7,120
20191231,061100,1016,4.64,1.87,219.5,562.6,124
20191231,061200,1040,4.59,2.01,219.5,533.2,126
20191231,061300,1050,4.79,1.95,219.5,552,127
20191231,061400,843,3.8,1.54,219.4,557.7,103
20191231,061500,636,2.89,1.19,219.3,551,76
20191231,061600,597,2.74,1.14,219,543.9,70
20191231,061700,605,2.77,1.17,219.3,544.8,73
20191231,061800,620,2.84,1.19,219.4,542.4,73
20191231,061900,636,2.92,1.2,219.3,548.4,74
20191231,062000,662,3.04,1.26,219.1,548.4,77
20191231,062100,693,3.17,1.3,219.2,550.2,80
20191231,062200,726,3.33,1.39,219.2,547.2,85
20191231,062300,1167,5.43,2.11,219.5,579.4,129
20191231,062400,1527,6.96,2.64,219.6,587.7,172
20191231,062500,1560,7.11,2.69,219.9,585.2,176
20191231,062600,1590,7.23,2.8,220,582.3,176
20191231,062700,1600,7.28,2.79,220.2,582.2,179
20191231,062800,1592,7.24,2.8,220,580.4,178
20191231,062900,1596,7.29,2.87,220.2,565.8,178
20191231,063000,1617,7.35,2.92,220.3,567.1,179
20191231,063100,1617,7.34,2.93,220.2,559.7,178
20191231,063200,1646,7.48,2.92,220.2,575.1,178
20191231,063300,1665,7.57,2.95,220.1,580,178
20191231,063400,1677,7.64,3,220,572.7,176
20191231,063500,1686,7.69,2.99,219.8,574,176
20191231,063600,1704,7.75,3.05,219.7,570.4,176
20191231,063700,1767,8.07,3.15,220,575.2,181
20191231,063800,1824,8.31,3.25,220,575.3,185
20191231,063900,1854,8.44,3.3,220.1,574.8,187
20191231,064000,1884,8.58,3.34,219.8,571.3,188
20191231,064100,1914,8.7,3.41,220,572.1,190
20191231,064200,1959,8.91,3.49,220.1,571.9,193
20191231,064300,2000,9.09,3.45,220.3,581.1,199
20191231,064400,2055,9.35,3.63,220.2,572.7,202
20191231,064500,2109,9.59,3.76,220.3,573.9,207
20191231,064600,2169,9.85,3.93,220.3,563.1,213
20191231,064700,2223,10.14,3.97,220.3,566.6,220
20191231,064800,2292,10.39,4.05,220.5,576.4,225
20191231,064900,2308,10.48,4.08,220.5,575.9,228
20191231,065000,2292,10.39,4.07,220.6,575.7,226
20191231,065100,2229,10.12,3.91,220.4,572.9,220
20191231,065200,2169,9.84,3.87,220.6,571.1,216
20191231,065300,2139,9.74,3.82,220.3,567.2,211
20191231,065400,2289,10.43,4.08,220.5,568.6,223
20191231,065500,2304,10.48,4.12,220.3,570.8,229
20191231,065600,2394,10.88,4.25,220.4,570.3,235
20191231,065700,2439,11.07,4.38,220.6,571,237
20191231,065800,2547,11.55,4.56,220.5,567.8,251
20191231,065900,2597,11.79,4.63,220.5,572.5,257
20191231,070000,2649,12.01,4.72,220.6,567.8,261
20191231,070100,2673,12.13,4.77,220.6,571.3,264
20191231,070200,2712,12.32,4.81,220.2,569.3,267
20191231,070300,2742,12.44,4.86,220.5,570,274
20191231,070400,2775,12.6,4.92,220.5,571.1,275
20191231,070500,2814,12.75,4.99,220.7,571.5,280
20191231,070600,2865,13,5.11,220.4,567.4,284
20191231,070700,2909,13.2,5.17,220.7,572.6,290
20191231,070800,2962,13.44,5.3,220.5,571.8,293
20191231,070900,3001,13.62,5.32,220.5,569.4,298
20191231,071000,3021,13.7,5.39,220.5,569.4,296
20191231,071100,3072,13.91,5.44,220.8,570.8,305
20191231,071200,3090,14,5.53,220.8,563.2,310
20191231,071300,3144,14.25,5.67,220.6,564.3,315
20191231,071400,3177,14.37,5.7,221,561.7,319
20191231,071500,3217,14.56,5.8,221,568.1,324
20191231,071600,3267,14.81,5.9,220.9,562.5,330
20191231,071700,3327,15.08,6.02,220.4,557.4,337
