dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191013,051000,6,0.08,0.07,219.8,462.3,4
20191013,051100,7,0.09,0.08,219.8,467.6,6
20191013,051200,13,0.1,0.09,220,442.6,6
20191013,051300,18,0.12,0.1,219.8,454.9,6
20191013,051400,24,0.14,0.11,220,483.2,7
20191013,051500,33,0.17,0.13,219.9,476.8,7
20191013,051600,39,0.2,0.14,219.9,473.7,7
20191013,051700,45,0.23,0.16,219.7,493.6,10
20191013,051800,54,0.27,0.18,219.7,483.7,10
20191013,051900,64,0.3,0.18,219.8,501.5,12
20191013,052000,72,0.34,0.2,219.9,497.6,12
20191013,052100,79,0.37,0.21,219.9,507.5,13
20191013,052200,90,0.41,0.23,218.6,508.4,13
20191013,052300,99,0.46,0.25,218.9,503.7,15
20191013,052400,105,0.49,0.26,218.9,504.7,16
20191013,052500,112,0.53,0.28,218.8,506.8,16
20191013,052600,123,0.58,0.3,218.8,499.4,18
20191013,052700,135,0.63,0.32,218.4,504.9,18
20191013,052800,138,0.65,0.33,218.6,508.7,19
20191013,052900,145,0.67,0.34,218.6,504.5,21
20191013,053000,123,0.57,0.32,218.7,459.8,22
20191013,053100,156,0.73,0.35,218.8,513.6,22
20191013,053200,159,0.73,0.35,218.7,522.9,22
20191013,053300,165,0.76,0.36,218.9,523.7,24
20191013,053400,165,0.76,0.36,218.8,519.1,24
20191013,053500,165,0.77,0.37,218.9,523.8,24
20191013,053600,165,0.77,0.36,218.8,528.8,24
20191013,053700,165,0.76,0.36,218.8,524.2,24
20191013,053800,144,0.66,0.34,218.6,510.1,19
20191013,053900,141,0.66,0.33,218.8,503.9,19
20191013,054000,141,0.66,0.33,218.9,508.7,19
20191013,054100,141,0.66,0.33,219,513.6,19
20191013,054200,144,0.67,0.34,219,508.8,19
20191013,054300,147,0.68,0.34,219,509.9,19
20191013,054400,150,0.69,0.35,218.9,511.9,19
20191013,054500,153,0.71,0.35,218.8,510.6,21
20191013,054600,159,0.74,0.36,219,517.6,21
20191013,054700,171,0.8,0.38,219.1,515.1,22
20191013,054800,191,0.89,0.42,219.2,519,24
20191013,054900,219,1.01,0.48,220.3,525.5,27
20191013,055000,237,1.08,0.5,220.3,532.7,30
20191013,055100,255,1.16,0.53,220.2,526.6,31
20191013,055200,276,1.26,0.57,220.3,529.1,33
20191013,055300,297,1.35,0.61,220.5,532.9,36
20191013,055400,315,1.44,0.63,220.6,537.8,38
20191013,055500,336,1.54,0.68,220.7,538.8,41
20191013,055600,354,1.61,0.71,220.7,534.2,42
20191013,055700,411,1.88,0.81,221.1,545.4,50
20191013,055800,408,1.85,0.79,220.8,549,50
20191013,055900,474,2.16,0.87,220.9,557.2,59
20191013,060000,537,2.45,1.02,220.9,563,68
20191013,060100,410,1.87,0.81,220.8,540.5,47
20191013,060200,423,1.93,0.83,220.6,541.2,48
20191013,060300,438,1.99,0.85,220.3,542.5,50
20191013,060400,447,2.04,0.88,220.3,539.5,51
20191013,060500,476,2.16,0.91,220.5,539,54
20191013,060600,522,2.39,1.01,219.2,545.8,59
20191013,060700,732,3.34,1.35,219.4,568.3,88
20191013,060800,993,4.53,1.82,219.8,558.4,126
20191013,060900,1077,4.96,2.03,220,550.9,138
20191013,061000,1189,5.43,2.17,220.1,558.5,150
20191013,061100,1263,5.74,2.34,220.1,558.6,159
20191013,061200,1320,6.01,2.59,220,527.5,165
20191013,061300,1371,6.23,2.64,220.1,525.6,172
20191013,061400,1386,6.3,2.67,220.2,524.6,172
20191013,061500,1113,5.06,2.03,220.1,562.5,130
20191013,061600,1170,5.33,2.11,219.9,563.6,138
20191013,061700,1302,5.93,2.34,220,563.4,155
20191013,061800,1284,5.92,2.42,220,553,156
20191013,061900,1218,5.58,2.2,219.8,573.7,146
20191013,062000,928,4.24,1.74,219.3,546.3,105
20191013,062100,1070,5.01,2.06,219.6,557.2,123
20191013,062200,1039,4.74,1.92,219.8,550.4,115
20191013,062300,1161,5.25,2.12,219.8,557.4,127
20191013,062500,924,4.2,1.74,219.6,546.1,103
20191013,062600,915,4.18,1.72,219.6,549.4,103
20191013,062700,951,4.35,1.77,219.6,552.1,106
20191013,062800,921,4.23,1.75,219.5,545.4,105
20191013,062900,1230,5.59,2.42,219.8,558.7,147
20191013,063000,1521,6.92,2.76,220.2,554.6,176
20191013,063100,735,3.36,1.41,219.4,540.1,83
20191013,063200,743,3.39,1.41,219.5,546.3,85
20191013,063300,828,3.8,1.57,219.6,551.2,94
20191013,063400,1058,5.01,2.08,219.9,557.4,126
20191013,063500,2313,10.49,4.17,221.3,567.2,264
20191013,063600,1554,6.62,2.59,220.2,558.6,172
20191013,063700,1015,4.6,1.89,219.9,548.3,115
20191013,063800,1110,5.06,2.01,219.7,555.3,126
20191013,063900,1224,5.47,2.17,219.9,558,137
20191013,064000,1451,6.68,2.7,221.5,562.7,167
20191013,064100,2070,9.53,3.79,221.9,569.9,242
20191013,064200,2475,11.1,4.33,222.4,579.6,278
20191013,064300,2426,10.83,4.28,222.1,568.5,274
20191013,064400,2610,11.74,4.63,222.4,568.4,295
20191013,064500,2397,10.8,4.27,222.2,565.2,272
20191013,064600,1632,7.38,2.99,221.4,562.7,185
20191013,064700,2455,10.88,4.29,222.1,572.1,272
20191013,064800,2481,11.16,4.46,222.3,567.6,280
20191013,064900,2661,11.96,4.8,222.4,562.7,301
20191013,065000,2811,12.67,5,222.6,571.5,316
20191013,065100,2220,10.34,4.25,222,566.9,257
20191013,065200,1623,7.71,3.24,221,555.9,190
20191013,065300,1941,8.77,3.59,221.5,556.3,223
20191013,065400,2826,12.84,5.08,222.5,568,318
20191013,065500,3009,13.5,5.29,222.9,572.1,334
20191013,065600,3049,13.7,5.39,223.1,569.6,339
20191013,065700,3051,13.64,5.45,223,567.2,337
20191013,065800,2637,11.88,4.59,221.1,563.2,292
20191013,065900,2367,10.5,4.13,220.7,562.1,260
20191013,070000,1971,9.16,3.69,220.4,555.8,222
20191013,070100,1794,8.16,3.28,220,554.4,199
20191013,070200,1960,8.94,3.58,220.2,557.1,219
20191013,070300,2365,10.72,4.32,220.6,557.7,264
20191013,070400,2645,12.18,4.91,221,562,298
20191013,070500,3271,14.81,5.86,221.4,566.5,363
20191013,070600,3309,14.96,5.96,221.6,563.2,368
20191013,070700,3320,14.94,5.94,221.6,567.2,369
20191013,070800,3360,15.16,6.06,221.8,559.6,374
20191013,070900,3399,15.32,6.18,221.9,561.3,379
20191013,071000,3426,15.44,6.21,221.9,558,382
20191013,071100,3474,15.67,6.29,221.7,562.8,388
20191013,071200,3501,15.88,6.35,221.8,557,394
20191013,071300,3324,12.71,5.76,221.1,481.1,398
20191013,071400,3591,16.2,6.59,221.7,555.3,401
20191013,071500,3624,16.36,6.6,221.8,555.8,406
20191013,071600,3658,16.51,6.71,221.7,553.7,409
20191013,071700,3702,16.69,6.67,221.8,556.8,415
20191013,071800,3750,16.91,6.85,221.9,552.8,420
20191013,071900,3789,17.09,6.94,221.8,557.7,424
20191013,072000,3810,17.17,6.93,221.9,553.9,427
20191013,072100,3853,17.36,7.01,222.1,555,433
20191013,072200,2929,13.55,5.55,221.2,547.9,334
20191013,072300,3611,15.18,5.87,221.6,551.5,397
20191013,072400,3645,16.46,7.13,221.9,549.9,412
20191013,072500,4242,19.03,7.74,222.6,558.3,476
20191013,072600,1389,6.33,2.62,219.2,533.6,156
20191013,072700,1189,5.43,2.3,219.2,528.7,133
20191013,072800,1167,5.35,2.25,219.2,533.4,130
20191013,072900,1251,5.74,2.39,219.3,536.9,140
20191013,073000,1590,7.38,3.06,219.9,543.8,179
20191013,073100,2601,12.1,4.93,220.9,554.2,289
20191013,073200,3534,15.75,6.27,222,560.9,388
20191013,073300,2709,12.21,4.93,220.9,551.7,299
20191013,073400,2796,12.65,5.08,221.1,558.5,305
20191013,073500,3057,13.81,5.57,221.4,559.4,336
20191013,073600,3774,16.99,6.85,222.1,554.8,414
20191013,073700,3009,13.61,5.53,221.2,552.9,333
20191013,073800,2568,11.62,4.69,220.7,553.6,284
20191013,073900,2484,11.45,4.67,220.7,553.9,272
20191013,074000,2946,14.05,5.73,221.2,549.8,333
20191013,074100,3734,16.83,6.93,221.8,555.9,412
20191013,074200,4122,18.61,7.56,222.9,558.8,464
20191013,074300,5177,23.14,9.42,223.7,559.4,578
20191013,074400,5091,22.62,9.01,224,566.9,575
20191013,074500,5127,22.88,9.47,224.1,550.8,578
20191013,074600,4857,21.72,9.01,224.3,546,552
20191013,074700,4632,20.67,8.54,224.1,546.9,526
20191013,074800,4212,18.83,8.02,223.5,544.3,482
20191013,074900,4824,21.51,8.9,224.2,548.5,546
20191013,075000,4398,19.66,8.27,223.7,541.6,505
20191013,075100,4441,19.86,8.28,223.6,542.8,508
20191013,075200,4389,19.69,8.27,223.4,540.3,505
20191013,075300,5013,22.43,9.39,223.9,543.5,576
20191013,075400,4947,22.19,9.25,222.5,544.4,567
20191013,075500,5139,23.05,9.59,222.7,544.2,592
20191013,075600,4194,18.93,7.85,221.7,534.8,482
20191013,075700,4185,18.91,7.91,221.3,534.6,481
20191013,075800,4523,20.39,8.61,221.7,539,523
20191013,075900,5028,22.71,9.44,222.5,543.8,578
20191013,080000,5181,23.27,9.65,222.6,543.8,595
20191013,080100,4749,21.38,8.88,221.9,539.6,545
20191013,080200,4914,22.07,9.16,222.5,539,564
20191013,080300,4914,22.07,9.21,222.3,543.4,563
20191013,080400,4449,20.04,8.23,221.9,542.2,508
20191013,080500,5571,25.11,10.56,223.1,537.1,643
20191013,080600,5789,25.89,10.91,223.5,541.5,666
