dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20191224,000100,0,2.18,0.07,0,0,17.99,0.05,0,0,0.46,20.62,90,9.31,0
20191224,000200,0,2.46,0.08,0,0,20.32,0.06,0,0,0.46,20.44,90,10.64,0
20191224,000300,0,2.36,0.08,0,0,19.51,0.05,0,0,0.46,20.38,90,6.65,0
20191224,000400,0,2.28,0.08,0,0,18.84,0.05,0,0,0.45,20.38,90,11.97,0
20191224,000500,0,2.45,0.08,0,0,20.21,0.06,0,0,0.45,20.38,90,3.99,0
20191224,000600,0,2.85,0.09,0,0,23.49,0.06,0,0,0.49,20.12,135,3.99,0
20191224,000700,0,2.64,0.09,0,0,21.75,0.06,0,0,0.49,20,135,9.31,0
20191224,000800,0,3.22,0.11,0,0,26.6,0.07,0,0,0.49,19.88,90,3.99,0
20191224,000900,0,3.39,0.11,0,0,27.99,0.08,0,0,0.47,19.75,90,9.31,0
20191224,001000,0,3.26,0.11,0,0,26.92,0.07,0,0,0.46,19.88,135,3.99,0
20191224,001100,0,3.55,0.12,0,0,29.32,0.08,0,0,0.45,20.06,135,5.32,0
20191224,001200,0,3.36,0.11,0,0,27.75,0.08,0,0,0.44,20.12,90,10.64,0
20191224,001300,0,3.23,0.11,0,0,26.61,0.07,0,0,0.44,20.12,135,5.32,0
20191224,001400,0,3.56,0.12,0,0,29.36,0.08,0,0,0.44,20.31,135,9.31,0
20191224,001500,0,3.41,0.11,0,0,28.13,0.08,0,0,0.43,20.38,135,5.32,0
20191224,001600,0,3.77,0.13,0,0,31.12,0.09,0,0,0.45,20.62,90,3.99,0
20191224,001700,0,3.32,0.11,0,0,27.38,0.08,0,0,0.48,20.56,135,10.64,0
20191224,001800,0,3.68,0.12,0,0,30.37,0.08,0,0,0.49,20.25,90,5.32,0
20191224,001900,0,4.2,0.14,0,0,34.62,0.1,0,0,0.48,20.12,90,1.33,0
20191224,002000,0,3.73,0.12,0,0,30.81,0.08,0,0,0.48,20.25,90,11.97,0
20191224,002100,0,4.16,0.14,0,0,34.29,0.09,0,0,0.49,20.31,135,3.99,0
20191224,002200,0,3.94,0.13,0,0,32.52,0.09,0,0,0.47,20.44,135,0,0
20191224,002300,0,3.36,0.11,0,0,27.69,0.08,0,0,0.46,20.44,90,6.65,0
20191224,002400,0,3.45,0.11,0,0,28.48,0.08,0,0,0.48,20.56,90,0,0
20191224,002500,0,3.4,0.11,0,0,28.06,0.08,0,0,0.47,20.44,90,0,0
20191224,002600,0,4.37,0.15,0,0,36.09,0.1,0,0,0.47,20.5,135,3.99,0
20191224,002700,0,4.18,0.14,0,0,34.51,0.09,0,0,0.49,20.31,90,0,0
20191224,002800,0,3.5,0.12,0,0,28.87,0.08,0,0,0.47,20.38,135,0,0
20191224,002900,0,3.54,0.12,0,0,29.23,0.08,0,0,0.46,20.5,135,0,0
20191224,003000,0,3.96,0.13,0,0,32.64,0.09,0,0,0.46,20.31,135,0,0
20191224,003100,0,3.42,0.11,0,0,28.2,0.08,0,0,0.43,20.44,180,0,0
20191224,003200,0,3.87,0.13,0,0,31.93,0.09,0,0,0.43,20.25,135,0,0
20191224,003300,0,3.41,0.11,0,0,28.16,0.08,0,0,0.42,20.12,90,5.32,0
20191224,003400,0,3.55,0.12,0,0,29.28,0.08,0,0,0.43,19.81,135,5.32,0
20191224,003500,0,3.87,0.13,0,0,31.94,0.09,0,0,0.45,19.88,135,5.32,0
20191224,003600,0,3.94,0.13,0,0,32.5,0.09,0,0,0.45,20.06,90,7.98,0
20191224,003700,0,3.66,0.12,0,0,30.23,0.08,0,0,0.45,20.12,90,7.98,0
20191224,003800,0,3.36,0.11,0,0,27.72,0.08,0,0,0.44,20.12,135,3.99,0
20191224,003900,0,2.93,0.1,0,0,24.2,0.07,0,0,0.44,20.19,90,3.99,0
20191224,004000,0,3.1,0.1,0,0,25.55,0.07,0,0,0.43,20.12,135,5.32,0
20191224,004100,0,2.7,0.09,0,0,22.24,0.06,0,0,0.45,20.12,135,6.65,0
20191224,004200,0,2.75,0.09,0,0,22.7,0.06,0,0,0.46,20.06,90,5.32,0
20191224,004300,0,2.96,0.1,0,0,24.43,0.07,0,0,0.46,20.38,135,5.32,0
20191224,004400,0,2.96,0.1,0,0,24.42,0.07,0,0,0.46,20.19,90,3.99,0
20191224,004500,0,3.29,0.11,0,0,27.15,0.07,0,0,0.44,20.19,135,0,0
20191224,004600,0,2.91,0.1,0,0,24.02,0.07,0,0,0.44,20.19,90,0,0
20191224,004700,0,2.9,0.1,0,0,23.89,0.07,0,0,0.45,20.31,90,0,0
20191224,004800,0,2.91,0.1,0,0,23.97,0.07,0,0,0.44,20.19,90,3.99,0
20191224,004900,0,2.69,0.09,0,0,22.18,0.06,0,0,0.44,20.06,135,7.98,0
20191224,005000,0,2.51,0.08,0,0,20.67,0.06,0,0,0.44,20.06,135,3.99,0
20191224,005100,0,2.9,0.1,0,0,23.91,0.07,0,0,0.44,19.94,90,0,0
20191224,005200,0,2.75,0.09,0,0,22.71,0.06,0,0,0.45,20,90,0,0
20191224,005300,0,2.5,0.08,0,0,20.62,0.06,0,0,0.45,20,90,0,0
20191224,005400,0,2.66,0.09,0,0,21.94,0.06,0,0,0.46,20.12,135,0,0
20191224,005500,0,2.62,0.09,0,0,21.61,0.06,0,0,0.46,20.44,90,0,0
20191224,005600,0,2.8,0.09,0,0,23.1,0.06,0,0,0.46,20.5,135,0,0
20191224,005700,0,2.66,0.09,0,0,21.93,0.06,0,0,0.47,20.5,90,0,0
20191224,005800,0,2.62,0.09,0,0,21.63,0.06,0,0,0.48,20.38,135,0,0
20191224,005900,0,2.89,0.1,0,0,23.83,0.07,0,0,0.48,20.38,90,0,0
20191224,010000,0,2.78,0.09,0,0,22.94,0.06,0,0,0.47,20.38,135,0,0
20191224,010100,0,2.85,0.09,0,0,23.48,0.06,0,0,0.46,20.25,90,0,0
20191224,010200,0,2.27,0.08,0,0,18.74,0.05,0,0,0.46,20.19,135,0,0
20191224,010400,0,2.79,0.09,0,0,23.01,0.06,0,0,0.44,20,90,5.32,0
20191224,010500,0,2.58,0.09,0,0,21.29,0.06,0,0,0.45,19.94,135,3.99,0
20191224,010600,0,2.76,0.09,0,0,22.8,0.06,0,0,0.44,19.88,135,7.98,0
20191224,010700,0,2.96,0.1,0,0,24.41,0.07,0,0,0.44,20.06,135,3.99,0
20191224,010800,0,2.78,0.09,0,0,22.91,0.06,0,0,0.44,20,90,10.64,0
20191224,010900,0,2.82,0.09,0,0,23.23,0.06,0,0,0.45,20.06,90,0,0
20191224,011000,0,2.66,0.09,0,0,21.9,0.06,0,0,0.47,20.06,135,0,0
20191224,011100,0,2.66,0.09,0,0,21.97,0.06,0,0,0.47,20,90,0,0
20191224,011200,0,2.76,0.09,0,0,22.74,0.06,0,0,0.46,20.25,135,0,0
20191224,011300,0,2.5,0.08,0,0,20.65,0.06,0,0,0.45,20.44,135,10.64,0
20191224,011400,0,2.46,0.08,0,0,20.29,0.06,0,0,0.44,20.38,135,0,0
20191224,011500,0,2.56,0.09,0,0,21.15,0.06,0,0,0.43,20.5,90,1.33,0
20191224,011600,0,2.02,0.07,0,0,16.7,0.05,0,0,0.45,20.31,90,1.33,0
20191224,011700,0,2.42,0.08,0,0,19.98,0.05,0,0,0.45,20.5,90,10.64,0
20191224,011800,0,2.11,0.07,0,0,17.41,0.05,0,0,0.44,20.62,90,1.33,0
20191224,011900,0,2.16,0.07,0,0,17.83,0.05,0,0,0.45,20.62,135,0,0
20191224,012000,0,2.24,0.07,0,0,18.46,0.05,0,0,0.44,20.75,135,0,0
20191224,012100,0,2.24,0.07,0,0,18.52,0.05,0,0,0.45,20.38,90,0,0
20191224,012200,0,2.09,0.07,0,0,17.22,0.05,0,0,0.46,20.56,135,0,0
20191224,012300,0,2.15,0.07,0,0,17.78,0.05,0,0,0.44,20.44,90,0,0
20191224,012400,0,2.47,0.08,0,0,20.42,0.06,0,0,0.46,20.69,90,7.98,0
20191224,012500,0,2.44,0.08,0,0,20.13,0.06,0,0,0.46,20.5,135,3.99,0
20191224,012600,0,2.49,0.08,0,0,20.5,0.06,0,0,0.45,20.5,135,3.99,0
20191224,012700,0,2.04,0.07,0,0,16.79,0.05,0,0,0.44,20.44,135,6.65,0
20191224,012800,0,2.02,0.07,0,0,16.65,0.05,0,0,0.43,20.06,90,0,0
20191224,012900,0,2.51,0.08,0,0,20.72,0.06,0,0,0.43,19.94,90,0,0
20191224,013000,0,1.98,0.07,0,0,16.31,0.04,0,0,0.42,20.06,135,7.98,0
20191224,013100,0,2.07,0.07,0,0,17.08,0.05,0,0,0.43,20,90,9.31,0
20191224,013200,0,2.46,0.08,0,0,20.28,0.06,0,0,0.44,19.94,135,5.32,0
20191224,013300,0,1.77,0.06,0,0,14.56,0.04,0,0,0.44,19.94,135,0,0
20191224,013400,0,2.41,0.08,0,0,19.87,0.05,0,0,0.44,20.06,90,0,0
20191224,013500,0,2.22,0.07,0,0,18.35,0.05,0,0,0.44,20.06,135,0,0
20191224,013600,0,2.22,0.07,0,0,18.3,0.05,0,0,0.43,20,90,3.99,0
20191224,013700,0,2.06,0.07,0,0,17.01,0.05,0,0,0.43,20.12,90,0,0
20191224,013800,0,2.22,0.07,0,0,18.31,0.05,0,0,0.44,20.06,90,0,0
20191224,013900,0,2.13,0.07,0,0,17.58,0.05,0,0,0.45,20.12,135,0,0
20191224,014000,0,1.8,0.06,0,0,14.84,0.04,0,0,0.46,20.12,135,0,0
20191224,014100,0,2.31,0.08,0,0,19.06,0.05,0,0,0.47,19.88,90,0,0
20191224,014200,0,2.3,0.08,0,0,18.95,0.05,0,0,0.47,19.69,135,0,0
20191224,014300,0,1.97,0.07,0,0,16.28,0.04,0,0,0.48,19.62,90,0,0
20191224,014400,0,1.93,0.06,0,0,15.91,0.04,0,0,0.48,19.69,135,0,0
20191224,014500,0,2.03,0.07,0,0,16.72,0.05,0,0,0.48,19.88,90,0,0
20191224,014600,0,2.56,0.09,0,0,21.13,0.06,0,0,0.47,19.81,135,0,0
20191224,014700,0,2.02,0.07,0,0,16.66,0.05,0,0,0.47,19.88,90,3.99,0
20191224,014800,0,2.25,0.08,0,0,18.6,0.05,0,0,0.47,20,90,0,0
20191224,014900,0,2.14,0.07,0,0,17.61,0.05,0,0,0.46,19.94,135,0,0
20191224,015000,0,1.62,0.05,0,0,13.4,0.04,0,0,0.46,20.06,135,0,0
20191224,015100,0,2.4,0.08,0,0,19.84,0.05,0,0,0.46,20.25,90,0,0
20191224,015200,0,2.22,0.07,0,0,18.33,0.05,0,0,0.45,20.56,135,0,0
20191224,015300,0,1.87,0.06,0,0,15.4,0.04,0,0,0.45,20.94,135,0,0
20191224,015400,0,2.37,0.08,0,0,19.54,0.05,0,0,0.44,21,180,0,0
20191224,015500,0,1.99,0.07,0,0,16.42,0.05,0,0,0.43,20.94,135,0,0
20191224,015600,0,2.15,0.07,0,0,17.73,0.05,0,0,0.43,20.94,135,3.99,0
20191224,015700,0,2.08,0.07,0,0,17.15,0.05,0,0,0.42,21.06,135,5.32,0
