dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20191123,000100,0,5.76,0.19,0,0,47.49,0.13,0,0,0.45,24.56,0,0,0
20191123,000200,0,6.13,0.2,0,0,50.61,0.14,0,0,0.47,24.62,0,2.66,0
20191123,000300,0,5.57,0.19,0,0,45.98,0.13,0,0,0.45,24.75,0,10.64,0
20191123,000400,0,5.77,0.19,0,0,47.61,0.13,0,0,0.45,24.88,0,9.31,0
20191123,000500,0,5.82,0.19,0,0,48,0.13,0,0,0.43,25.19,0,5.32,0
20191123,000600,0,6.08,0.2,0,0,50.19,0.14,0,0,0.43,25,0,3.99,0
20191123,000700,0,6.78,0.23,0,0,55.92,0.15,0,0,0.45,25.19,0,9.31,0
20191123,000800,0,6.79,0.23,0,0,55.98,0.15,0,0,0.47,25.31,0,23.94,0
20191123,000900,0,6.34,0.21,0,0,52.34,0.14,0,0,0.47,25.31,0,11.97,0.25
20191123,001000,0,6.26,0.21,0,0,51.61,0.14,0,0,0.47,25.31,335,23.94,0.25
20191123,001100,0,6.85,0.23,0,0,56.55,0.16,0,0,0.47,25.19,0,10.64,0.25
20191123,001200,0,6.11,0.2,0,0,50.43,0.14,0,0,0.46,25.19,0,9.31,0.25
20191123,001300,0,5.46,0.18,0,0,45.04,0.12,0,0,0.47,24.94,0,21.28,0.25
20191123,001400,0,5.94,0.2,0,0,49.01,0.13,0,0,0.47,25,45,7.98,0.25
20191123,001500,0,5.76,0.19,0,0,47.49,0.13,0,0,0.46,24.81,0,7.98,0.25
20191123,001600,0,6.39,0.21,0,0,52.69,0.14,0,0,0.46,24.88,135,5.32,0.5
20191123,001700,0,6.26,0.21,0,0,51.68,0.14,0,0,0.46,24.75,0,22.61,0.5
20191123,001800,0,5.53,0.18,0,0,45.63,0.13,0,0,0.45,24.75,0,18.62,0.5
20191123,001900,0,5.04,0.17,0,0,41.55,0.11,0,0,0.45,24.5,0,10.64,0.5
20191123,002000,0,4.82,0.16,0,0,39.8,0.11,0,0,0.46,24.62,0,14.63,0.5
20191123,002100,0,5.23,0.17,0,0,43.12,0.12,0,0,0.46,24.56,135,3.99,0.5
20191123,002200,0,4.46,0.15,0,0,36.8,0.1,0,0,0.46,24.31,0,7.98,0.5
20191123,002300,0,5.28,0.18,0,0,43.57,0.12,0,0,0.46,24.5,0,6.65,0.5
20191123,002400,0,4.19,0.14,0,0,34.53,0.09,0,0,0.46,24.5,0,7.98,0.5
20191123,002500,0,4.59,0.15,0,0,37.87,0.1,0,0,0.47,24.44,0,3.99,0.5
20191123,002600,0,4.38,0.15,0,0,36.16,0.1,0,0,0.45,24.31,0,2.66,0.5
