dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200226,000000,0,0.1,0,214,44,0
20200226,000100,0,0.1,0,214,44,0
20200226,000200,0,0.1,0,214,44,0
20200226,000300,0,0.1,0,214,43.9,0
20200226,000400,0,0.1,0,214,43.9,0
20200226,000500,0,0.1,0,214,44,0
20200226,000600,0,0.1,0,214,44.1,0
20200226,000700,0,0.1,0,214,44.2,0
20200226,000800,0,0.1,0,214,44.2,0
20200226,000900,0,0.1,0,214,44.2,0
20200226,001000,0,0.1,0,214,44.1,0
20200226,001100,0,0.1,0,214,44.1,0
20200226,001200,0,0.1,0,214,43.4,0
20200226,001300,0,0.1,0,214,43.4,0
20200226,001400,0,0.1,0,214,43.1,0
20200226,001500,0,0.1,0,214,43.1,0
20200226,001600,0,0.1,0,214,43,0
20200226,001700,0,0.1,0,214,43,0
20200226,001800,0,0.1,0,214,43,0
20200226,001900,0,0.1,0,214,43,0
20200226,002000,0,0.1,0,214,43.1,0
20200226,002100,0,0.1,0,214,43.1,0
20200226,002200,0,0.1,0,214,43.7,0
20200226,002300,0,0.1,0,214,43.7,0
20200226,002400,0,0.1,0,214,44.1,0
20200226,002500,0,0.1,0,214,44.1,0
20200226,002600,0,0.1,0,214,44,0
20200226,002700,0,0.1,0,214,44,0
20200226,002800,0,0.1,0,214,44,0
20200226,002900,0,0.1,0,214,44,0
20200226,003000,0,0.1,0,214,44.3,0
20200226,003100,0,0.1,0,214,44.3,0
20200226,003200,0,0.1,0,214,44.7,0
20200226,003300,0,0.1,0,214,44.7,0
20200226,003400,0,0.1,0,214,44.8,0
20200226,003500,0,0.1,0,214,44.8,0
20200226,003600,0,0.1,0,214,44.9,0
20200226,003700,0,0.1,0,214,45,0
20200226,003800,0,0.1,0,214,45.1,0
20200226,003900,0,0.1,0,214,45.2,0
20200226,004000,0,0.1,0,214,45.3,0
20200226,004100,0,0.1,0,214,45.3,0
20200226,004200,0,0.1,0,214,45.2,0
20200226,004300,0,0.1,0,214,44.8,0
20200226,004400,0,0.1,0,214,44.6,0
20200226,004500,0,0.1,0,214,44.2,0
20200226,004600,0,0.1,0,214,43.8,0
20200226,004700,0,0.1,0,214,43.3,0
20200226,004800,0,0.1,0,214,42.5,0
20200226,004900,0,0.1,0,214,42,0
20200226,005000,0,0.1,0,214,42,0
20200226,005100,0,0.1,0,214,42,0
20200226,005200,0,0.1,0,214,42,0
20200226,005300,0,0.1,0,214,43.1,0
20200226,005400,0,0.1,0,214,43.1,0
20200226,005500,0,0.1,0,214,44.1,0
20200226,005600,0,0.1,0,214,44.1,0
20200226,005700,0,0.1,0,214,44.4,0
20200226,005800,0,0.1,0,214,44.4,0
20200226,053900,15,0.11,0.09,218.3,458.6,7
20200226,054000,27,0.15,0.12,218.4,466.1,7
20200226,054100,39,0.19,0.14,218.3,474.7,9
20200226,054200,45,0.23,0.15,218.3,489,10
20200226,054300,57,0.27,0.17,218.3,491.7,10
20200226,054400,70,0.34,0.21,218.4,489.4,13
20200226,054500,90,0.42,0.24,218.3,499.7,15
20200226,054600,105,0.5,0.26,218.3,505.9,16
20200226,054700,123,0.58,0.3,219.8,506.3,19
20200226,054800,144,0.67,0.34,219.9,515.2,21
20200226,054900,163,0.75,0.37,219.9,509.8,22
20200226,055000,180,0.83,0.4,220,517.1,24
20200226,055100,195,0.89,0.42,219.9,517.6,24
20200226,055200,207,0.95,0.45,219.9,524.3,27
20200226,055300,225,1.04,0.49,219.8,523.5,31
20200226,055400,255,1.17,0.54,219.5,528.7,33
20200226,055500,279,1.28,0.58,219.3,524.9,36
20200226,055600,300,1.38,0.61,219.6,533.7,39
20200226,055700,324,1.49,0.67,219.5,529.7,41
20200226,055800,346,1.59,0.7,219.7,529.8,42
20200226,055900,366,1.68,0.74,219.5,533.5,45
20200226,060000,387,1.77,0.77,219.6,538.6,47
20200226,060100,411,1.88,0.82,219.8,539.8,50
20200226,060200,430,1.97,0.85,219.8,540,50
20200226,060300,444,2.04,0.88,219.6,538.2,54
20200226,060400,468,2.14,0.9,219.4,543.9,56
20200226,060500,495,2.26,0.96,219.7,544.7,59
20200226,060600,513,2.34,0.98,219.9,545.7,59
20200226,060700,534,2.46,1.03,218.6,546.2,62
20200226,060800,561,2.58,1.08,218.4,549.4,65
20200226,060900,597,2.74,1.13,218.5,550.3,70
20200226,061000,636,2.91,1.19,218.6,552.7,73
20200226,061100,675,3.09,1.27,218.6,555.5,77
20200226,061200,708,3.24,1.31,218.7,561.9,80
20200226,061300,732,3.37,1.35,218.4,557.1,83
20200226,061400,759,3.49,1.42,218.6,561,86
20200226,061500,792,3.64,1.47,218.7,560,89
20200226,061600,825,3.79,1.52,218.7,560.1,94
20200226,061700,849,3.9,1.56,218.7,562.2,97
20200226,061800,891,4.08,1.62,218.5,562.9,100
20200226,061900,902,4.11,1.66,220,561.5,101
20200226,062000,888,4.03,1.64,220,558.6,98
20200226,062100,798,3.62,1.47,219.9,552.3,91
20200226,062200,756,3.43,1.41,219.9,555.8,88
20200226,062300,660,3,1.25,219.6,547.2,76
20200226,062400,525,2.36,0.99,219.5,537.4,63
20200226,062500,360,1.65,0.73,219.3,531,45
20200226,062600,266,1.2,0.55,219.1,518.8,36
20200226,062700,213,0.98,0.47,219,516.8,30
20200226,062800,192,0.89,0.43,219.1,512,27
20200226,062900,186,0.87,0.42,219.1,513,25
20200226,063000,279,1.29,0.59,219.2,521.2,35
20200226,063100,291,1.35,0.61,218.9,526.3,39
20200226,063200,362,1.66,0.73,219.1,531,45
20200226,063300,402,1.84,0.8,219.2,540.5,51
20200226,063400,390,1.79,0.77,219.1,533.4,48
20200226,063500,345,1.58,0.7,219.1,530.5,42
20200226,063600,396,1.82,0.8,219,530.6,51
20200226,063700,402,1.83,0.8,219.4,530.9,47
20200226,063800,438,2,0.87,219.3,531.4,53
20200226,063900,471,2.18,0.92,219,540,56
20200226,064000,477,2.2,0.93,217.9,537.9,57
20200226,064100,444,2.04,0.87,217.9,540.2,51
20200226,064200,369,1.7,0.73,218,534.2,45
20200226,064300,264,1.23,0.55,217.9,524.8,33
20200226,064400,237,1.09,0.49,217.8,528.3,33
20200226,064500,273,1.26,0.57,217.9,526.8,38
