dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20191031,000000,0,0.09,0,212.2,39.6,0
20191031,000100,0,0.09,0,212.2,39.5,0
20191031,000200,0,0.09,0,212.2,39.5,0
20191031,000300,0,0.09,0,212.2,39.4,0
20191031,000400,0,0.09,0,212.2,39.4,0
20191031,000500,0,0.09,0,212.2,39,0
20191031,000600,0,0.09,0,212.2,39,0
20191031,000700,0,0.09,0,212.2,38.5,0
20191031,000800,0,0.09,0,212.2,38.1,0
20191031,000900,0,0.09,0,212.2,37.6,0
20191031,001000,0,0.09,0,212.2,37.3,0
20191031,001100,0,0.09,0,212.2,37.2,0
20191031,001200,0,0.09,0,212.2,37.1,0
20191031,001300,0,0.09,0,212.2,36.9,0
20191031,001400,0,0.09,0,212.2,36.9,0
20191031,001500,0,0.09,0,212.2,36.9,0
20191031,001600,0,0.09,0,212.2,36.9,0
20191031,001700,0,0.09,0,212.2,36.8,0
20191031,001800,0,0.09,0,212.2,36.8,0
20191031,001900,0,0.09,0,212.2,36.8,0
20191031,002000,0,0.09,0,212.2,36.8,0
20191031,002100,0,0.09,0,212.2,36.8,0
20191031,002200,0,0.09,0,212.2,36.8,0
20191031,002300,0,0.09,0,212.2,36.8,0
20191031,002400,0,0.09,0,212.2,36.7,0
20191031,002500,0,0.09,0,212.2,36.7,0
20191031,002600,0,0.09,0,212.2,36.6,0
20191031,002700,0,0.09,0,212.2,36.6,0
20191031,002800,0,0.09,0,212.2,36.6,0
20191031,002900,0,0.09,0,212.2,36.6,0
20191031,003000,0,0.09,0,212.2,36.6,0
20191031,003100,0,0.09,0,212.2,36.6,0
20191031,003200,0,0.09,0,212.2,36.7,0
20191031,003300,0,0.09,0,212.2,36.7,0
20191031,003400,0,0.09,0,212.2,37.2,0
20191031,003500,0,0.09,0,212.2,37.2,0
20191031,003600,0,0.09,0,212.2,37.4,0
20191031,003700,0,0.09,0,212.2,37.4,0
20191031,003800,0,0.09,0,212.2,37.7,0
20191031,003900,0,0.09,0,212.2,37.7,0
20191031,004000,0,0.09,0,212.2,38,0
20191031,004100,0,0.09,0,212.2,38,0
20191031,004200,0,0.09,0,212.2,38.1,0
20191031,004300,0,0.09,0,212.2,38.1,0
20191031,004400,0,0.09,0,212.2,37.5,0
20191031,004500,0,0.09,0,212.2,37.5,0
20191031,004600,0,0.09,0,212.2,37.3,0
20191031,004700,0,0.09,0,212.2,37.3,0
20191031,004800,0,0.09,0,212.2,37.3,0
20191031,004900,0,0.09,0,212.2,37.2,0
20191031,005000,0,0.09,0,212.2,37.2,0
20191031,005100,0,0.09,0,212.2,37.2,0
20191031,005200,0,0.09,0,212.2,37.3,0
20191031,005300,0,0.09,0,212.2,37.3,0
20191031,005400,0,0.09,0,212.2,37.4,0
20191031,005500,0,0.09,0,212.2,37.5,0
20191031,005600,0,0.09,0,212.2,37.5,0
20191031,005700,0,0.09,0,212.2,37.5,0
20191031,005800,0,0.09,0,212.2,37.5,0
20191031,005900,0,0.09,0,212.2,37.5,0
20191031,060400,9,0.09,0.09,215.7,449.5,4
20191031,060500,15,0.1,0.1,215.3,438.1,6
20191031,060600,18,0.12,0.11,215.2,467.9,6
20191031,060700,24,0.14,0.12,215.3,468.5,7
20191031,060800,30,0.16,0.13,215.4,463.1,7
20191031,060900,33,0.18,0.13,215.4,482.7,9
