dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20191104,000100,0,7.37,0.25,0,0,60.79,0.17,0,0,0.45,26.19,0,6.65,0
20191104,000200,0,7.4,0.25,0,0,61.06,0.17,0,0,0.45,26.12,45,5.32,0
20191104,000300,0,7.78,0.26,0,0,64.23,0.18,0,0,0.44,26.12,0,10.64,0
20191104,000400,0,8.81,0.29,0,0,72.65,0.2,0,0,0.44,26.12,0,7.98,0
20191104,000500,0,7.57,0.25,0,0,62.49,0.17,0,0,0.44,26.19,0,5.32,0
20191104,000600,0,8.52,0.28,0,0,70.3,0.19,0,0,0.43,25.94,0,6.65,0
20191104,000700,0,7.8,0.26,0,0,64.39,0.18,0,0,0.44,26.12,0,5.32,0
20191104,000800,0,6.91,0.23,0,0,56.98,0.16,0,0,0.46,26.06,0,6.65,0
20191104,000900,0,7.71,0.26,0,0,63.64,0.17,0,0,0.44,26.06,0,3.99,0
20191104,001000,0,7.71,0.26,0,0,63.59,0.17,0,0,0.42,26.06,0,6.65,0
20191104,001100,0,8.04,0.27,0,0,66.31,0.18,0,0,0.43,26.19,0,9.31,0
20191104,001200,0,7.31,0.24,0,0,60.29,0.17,0,0,0.43,26.12,0,7.98,0
20191104,001300,0,7.25,0.24,0,0,59.84,0.16,0,0,0.44,26,0,6.65,0
20191104,001400,0,7.61,0.25,0,0,62.81,0.17,0,0,0.42,26,0,9.31,0
20191104,001500,0,7.91,0.26,0,0,65.26,0.18,0,0,0.43,26.06,0,7.98,0
20191104,001600,0,7.84,0.26,0,0,64.65,0.18,0,0,0.43,26.06,0,9.31,0
20191104,001700,0,7.17,0.24,0,0,59.18,0.16,0,0,0.42,26.12,0,7.98,0
20191104,001800,0,7.3,0.24,0,0,60.27,0.17,0,0,0.43,26.06,0,7.98,0
20191104,001900,0,7.11,0.24,0,0,58.64,0.16,0,0,0.42,25.94,0,9.31,0
20191104,002000,0,6.9,0.23,0,0,56.89,0.16,0,0,0.43,26.12,335,11.97,0
20191104,002100,0,7.34,0.24,0,0,60.58,0.17,0,0,0.45,26.12,0,15.96,0
20191104,002200,0,7.38,0.25,0,0,60.86,0.17,0,0,0.43,26.06,0,5.32,0
20191104,002300,0,7.54,0.25,0,0,62.19,0.17,0,0,0.44,26,0,5.32,0
20191104,002400,0,7.58,0.25,0,0,62.54,0.17,0,0,0.44,25.88,335,5.32,0
20191104,002500,0,7.27,0.24,0,0,59.96,0.16,0,0,0.44,26,0,7.98,0
20191104,002600,0,7.58,0.25,0,0,62.53,0.17,0,0,0.45,25.94,45,3.99,0
20191104,002700,0,6.72,0.22,0,0,55.41,0.15,0,0,0.45,25.94,0,2.66,0
20191104,002800,0,6.47,0.22,0,0,53.38,0.15,0,0,0.44,25.81,0,5.32,0
20191104,002900,0,6.72,0.22,0,0,55.41,0.15,0,0,0.44,25.88,335,17.29,0
20191104,003000,0,7.12,0.24,0,0,58.76,0.16,0,0,0.43,25.69,0,7.98,0
20191104,003100,0,7.13,0.24,0,0,58.86,0.16,0,0,0.43,25.81,0,7.98,0
20191104,003200,0,7.42,0.25,0,0,61.2,0.17,0,0,0.44,25.75,0,13.3,0
20191104,003300,0,7.85,0.26,0,0,64.75,0.18,0,0,0.46,25.75,0,10.64,0
20191104,003400,0,7.01,0.23,0,0,57.83,0.16,0,0,0.46,25.88,0,13.3,0
20191104,003500,0,7.16,0.24,0,0,59.11,0.16,0,0,0.44,25.81,0,7.98,0
20191104,003600,0,6.92,0.23,0,0,57.1,0.16,0,0,0.43,25.69,0,2.66,0
20191104,003700,0,7.2,0.24,0,0,59.38,0.16,0,0,0.44,25.75,0,7.98,0
20191104,003800,0,6.74,0.22,0,0,55.6,0.15,0,0,0.46,25.69,0,5.32,0
20191104,003900,0,8.57,0.29,0,0,70.73,0.19,0,0,0.47,25.75,135,5.32,0
20191104,004000,0,8,0.27,0,0,66.03,0.18,0,0,0.48,25.75,0,7.98,0
20191104,004100,0,7.2,0.24,0,0,59.39,0.16,0,0,0.45,25.81,0,11.97,0
20191104,004200,0,7.95,0.26,0,0,65.62,0.18,0,0,0.43,25.75,0,6.65,0
20191104,004300,0,8.71,0.29,0,0,71.84,0.2,0,0,0.44,25.88,0,7.98,0
