dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20200223,000100,0,2.38,0.15,0.05,0.01,19.52,0.13,0.01,0,0.54,19.75,180,2.66,0
20200223,000200,0,2.16,0.17,0.07,0.01,17.65,0.15,0.01,0,0.55,19.81,135,5.32,0
20200223,000300,0,2.18,0.17,0.07,0.01,17.82,0.15,0.01,0,0.54,19.75,180,3.99,0
20200223,000400,0,2.66,0.09,0,0,21.94,0.06,0,0,0.53,19.56,180,5.32,0
20200223,000500,0,2.26,0.08,0,0,18.68,0.05,0,0,0.52,19.56,180,5.32,0
20200223,000600,0,2.06,0.07,0,0,16.97,0.05,0,0,0.53,19.44,180,5.32,0
20200223,000700,0,2.3,0.12,0.03,0,18.9,0.1,0.01,0,0.54,19.62,180,5.32,0
20200223,000800,0,1.93,0.16,0.07,0.01,15.82,0.14,0.01,0,0.56,19.81,180,5.32,0
20200223,000900,0,2.09,0.17,0.08,0.01,17.11,0.15,0.01,0,0.56,19.56,180,1.33,0
20200223,001000,0,2.06,0.16,0.07,0.01,16.83,0.14,0.01,0,0.54,-127,180,3.99,0
20200223,001100,0,2.14,0.15,0.06,0.01,17.54,0.13,0.01,0,0.55,19.5,180,0,0
20200223,001200,0,2.13,0.14,0.05,0.01,17.48,0.12,0.01,0,0.55,19.38,180,5.32,0
20200223,001300,0,2.2,0.1,0.02,0,18.11,0.08,0,0,0.54,19.5,180,6.65,0
20200223,001400,0,2.09,0.07,0,0,17.27,0.05,0,0,0.53,19.56,180,5.32,0
20200223,001500,0,2.53,0.09,0,0,20.88,0.06,0,0,0.53,19.31,180,0,0
20200223,001600,0,2.3,0.15,0.05,0.01,18.87,0.13,0.01,0,0.55,19.56,180,6.65,0
20200223,001700,0,2.33,0.16,0.07,0.01,19.09,0.15,0.01,0,0.56,19.5,180,1.33,0
20200223,001800,0,2.49,0.18,0.07,0.01,20.39,0.16,0.01,0,0.56,19.56,180,5.32,0
20200223,001900,0,1.97,0.13,0.05,0.01,16.18,0.11,0.01,0,0.56,19.38,180,5.32,0
20200223,002000,0,2.54,0.16,0.06,0.01,20.8,0.14,0.01,0,0.56,19.56,180,5.32,0
20200223,002100,0,2.07,0.17,0.08,0.01,16.91,0.15,0.01,0,0.54,19.56,180,0,0
20200223,002200,0,2.34,0.24,0.13,0.02,19.08,0.23,0.02,0,0.56,19.5,180,9.31,0
20200223,002300,0,2.46,0.28,0.15,0.02,20.02,0.27,0.03,0,0.57,19.38,180,0,0
20200223,002400,0,1.89,0.2,0.1,0.02,15.34,0.19,0.02,0,0.55,19.31,180,0,0
20200223,002500,0,1.93,0.23,0.13,0.02,15.63,0.22,0.02,0,0.55,19.19,180,10.64,0
20200223,002600,0,2.09,0.25,0.14,0.02,16.94,0.24,0.03,0,0.55,19.25,180,5.32,0
20200223,002700,0,1.94,0.13,0.05,0.01,15.9,0.11,0.01,0,0.54,19.44,180,9.31,0
20200223,002800,0,2.2,0.09,0.01,0,18.14,0.07,0,0,0.53,19.44,180,0,0
20200223,002900,0,2.15,0.14,0.05,0.01,17.67,0.12,0.01,0,0.54,19.44,135,0,0
20200223,003000,0,2.31,0.23,0.12,0.02,18.79,0.22,0.02,0,0.55,19.62,180,6.65,0
20200223,003100,0,2.42,0.23,0.11,0.02,19.75,0.22,0.02,0,0.55,19.31,180,10.64,0
20200223,003200,0,1.89,0.17,0.08,0.01,15.39,0.16,0.02,0,0.56,19.38,180,3.99,0
20200223,003300,0,2.32,0.23,0.12,0.02,18.91,0.22,0.02,0,0.57,19.5,180,10.64,0
20200223,003400,0,2.12,0.2,0.1,0.02,17.29,0.19,0.02,0,0.56,19.5,180,5.32,0
20200223,003500,0,2.05,0.22,0.11,0.02,16.71,0.21,0.02,0,0.58,19.44,180,11.97,0
20200223,003600,0,1.89,0.2,0.1,0.02,15.41,0.19,0.02,0,0.59,19.44,180,15.96,0
20200223,003700,0,1.95,0.23,0.13,0.02,15.86,0.22,0.02,0,0.6,19.5,180,0,0
20200223,003800,0,1.89,0.23,0.13,0.02,15.32,0.22,0.02,0,0.58,19.44,180,5.32,0
20200223,003900,0,2.34,0.27,0.15,0.02,19,0.26,0.03,0,0.56,19.38,135,5.32,0
20200223,004000,0,2.23,0.24,0.13,0.02,18.14,0.23,0.02,0,0.57,19.44,135,26.6,0
20200223,004100,0,1.97,0.24,0.13,0.02,15.98,0.23,0.02,0,0.57,19.5,180,9.31,0
20200223,004200,0,1.67,0.18,0.1,0.02,13.58,0.18,0.02,0,0.57,19.31,180,11.97,0
20200223,004300,0,1.96,0.22,0.12,0.02,15.93,0.21,0.02,0,0.57,19.31,180,17.29,0
20200223,004400,0,2.15,0.28,0.16,0.02,17.44,0.27,0.03,0,0.58,19.44,135,5.32,0
20200223,004500,0,2.13,0.27,0.15,0.02,17.3,0.27,0.03,0,0.57,19.19,180,11.97,0
20200223,004700,0,2.1,0.3,0.17,0.03,16.98,0.29,0.03,0.01,0.54,19.5,180,11.97,0
20200223,004800,0,2,0.11,0.03,0.01,16.43,0.09,0.01,0,0.54,19.44,180,6.65,0
20200223,004900,0,1.79,0.15,0.07,0.01,14.62,0.14,0.01,0,0.53,19.25,180,5.32,0
20200223,005000,0,1.94,0.28,0.16,0.03,15.65,0.27,0.03,0.01,0.57,19.25,180,5.32,0
20200223,005100,0,2.3,0.36,0.21,0.03,18.53,0.36,0.04,0.01,0.58,19.25,180,6.65,0
20200223,005200,0,1.95,0.27,0.15,0.02,15.77,0.26,0.03,0,0.58,19.12,180,1.33,0
20200223,005300,0,2.04,0.27,0.16,0.02,16.53,0.27,0.03,0,0.58,19.25,180,7.98,0
20200223,005400,0,2.49,0.34,0.19,0.03,20.13,0.33,0.04,0.01,0.58,19,180,11.97,0
20200223,005500,0,1.82,0.24,0.14,0.02,14.73,0.23,0.02,0,0.6,19.06,225,13.3,0
20200223,005600,0,1.96,0.27,0.15,0.02,15.83,0.26,0.03,0,0.58,19.12,225,13.3,0
20200223,005700,0,1.97,0.27,0.16,0.02,15.97,0.26,0.03,0,0.58,19.12,180,5.32,0
20200223,005800,0,1.97,0.27,0.15,0.02,15.93,0.26,0.03,0,0.57,19.12,180,10.64,0
20200223,005900,0,2.63,0.34,0.19,0.03,21.3,0.33,0.03,0.01,0.57,19,180,6.65,0
20200223,010000,0,2.23,0.27,0.15,0.02,18.11,0.26,0.03,0,0.58,18.75,180,7.98,0
20200223,010100,0,2.3,0.29,0.16,0.03,18.67,0.28,0.03,0.01,0.58,18.94,180,3.99,0
20200223,010200,0,2.3,0.28,0.15,0.02,18.63,0.27,0.03,0,0.57,18.81,180,17.29,0
20200223,010300,0,2.47,0.26,0.13,0.02,20.12,0.24,0.02,0,0.56,19.06,135,9.31,0
20200223,010400,0,2.47,0.24,0.12,0.02,20.18,0.23,0.02,0,0.57,19.06,180,10.64,0
20200223,010500,0,2.48,0.23,0.11,0.02,20.2,0.22,0.02,0,0.55,19.06,180,18.62,0
20200223,010600,0,2.39,0.22,0.11,0.02,19.51,0.21,0.02,0,0.55,19.06,180,5.32,0
20200223,010700,0,2.12,0.19,0.09,0.01,17.32,0.18,0.02,0,0.56,19.12,180,5.32,0
20200223,010800,0,2.08,0.16,0.07,0.01,17,0.15,0.01,0,0.56,19.12,180,5.32,0
20200223,010900,0,2.5,0.21,0.1,0.02,20.43,0.19,0.02,0,0.56,18.75,180,1.33,0
20200223,011000,0,2.31,0.19,0.08,0.01,18.92,0.17,0.02,0,0.55,18.75,180,7.98,0
20200223,011100,0,2.45,0.21,0.1,0.02,20.04,0.2,0.02,0,0.57,18.75,180,11.97,0
20200223,011200,0,2.55,0.22,0.1,0.02,20.83,0.2,0.02,0,0.57,18.94,180,10.64,0
20200223,011300,0,2.28,0.18,0.08,0.01,18.68,0.17,0.02,0,0.57,18.62,180,9.31,0
20200223,011400,0,2.23,0.16,0.06,0.01,18.23,0.14,0.01,0,0.56,18.44,180,10.64,0
