dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20191220,000100,0,1.32,0.04,0,0,10.92,0.03,0,0,0.47,23.06,90,30.59,0
20191220,000200,0,1.44,0.05,0,0,11.89,0.03,0,0,0.48,23.25,0,33.25,0
20191220,000300,0,1.35,0.04,0,0,11.15,0.03,0,0,0.48,23.31,45,19.95,0
20191220,000400,0,1.55,0.05,0,0,12.79,0.04,0,0,0.48,23.12,45,14.63,0
20191220,000500,0,1.12,0.04,0,0,9.26,0.03,0,0,0.48,23.12,45,18.62,0
20191220,000600,0,1.39,0.05,0,0,11.49,0.03,0,0,0.48,23.12,0,7.98,0
20191220,000700,0,1.22,0.04,0,0,10.05,0.03,0,0,0.48,23.19,45,14.63,0
20191220,000800,0,1.24,0.04,0,0,10.2,0.03,0,0,0.48,23.31,45,17.29,0
20191220,000900,0,1.56,0.05,0,0,12.88,0.04,0,0,0.48,23.19,0,37.24,0
20191220,001000,0,1.5,0.05,0,0,12.36,0.03,0,0,0.47,23.44,45,23.94,0
20191220,001100,0,1.45,0.05,0,0,11.92,0.03,0,0,0.48,23.31,90,17.29,0
20191220,001200,0,1.29,0.04,0,0,10.61,0.03,0,0,0.47,23.38,45,22.61,0
20191220,001300,0,1.53,0.05,0,0,12.65,0.03,0,0,0.48,23.56,90,23.94,0
20191220,001400,0,0.93,0.03,0,0,7.67,0.02,0,0,0.5,23.56,90,29.26,0
20191220,001500,0,1.44,0.05,0,0,11.84,0.03,0,0,0.5,23.5,135,22.61,0
20191220,001600,0,1.09,0.04,0,0,8.98,0.02,0,0,0.49,23.38,135,27.93,0
20191220,001700,0,1.1,0.04,0,0,9.04,0.02,0,0,0.48,23.44,45,17.29,0
20191220,001800,0,1.39,0.05,0,0,11.48,0.03,0,0,0.49,23.5,0,7.98,0
20191220,001900,0,1.23,0.04,0,0,10.15,0.03,0,0,0.48,23.25,0,7.98,0
20191220,002000,0,1.01,0.03,0,0,8.34,0.02,0,0,0.49,23.19,0,11.97,0
20191220,002100,0,1.02,0.03,0,0,8.42,0.02,0,0,0.48,23.31,90,11.97,0
20191220,002200,0,1.33,0.04,0,0,10.97,0.03,0,0,0.46,23.38,90,21.28,0
20191220,002300,0,1.13,0.04,0,0,9.29,0.03,0,0,0.46,23.31,0,17.29,0
20191220,002400,0,1.63,0.05,0,0,13.43,0.04,0,0,0.46,23.38,45,22.61,0
20191220,002500,0,1.38,0.05,0,0,11.36,0.03,0,0,0.45,23.38,180,9.31,0
20191220,002600,0,1.56,0.05,0,0,12.86,0.04,0,0,0.45,23.38,45,21.28,0
20191220,002700,0,1.27,0.04,0,0,10.48,0.03,0,0,0.45,23.25,180,11.97,0
20191220,002900,0,1.72,0.06,0,0,14.2,0.04,0,0,0.46,23.31,0,21.28,0
20191220,003000,0,1.53,0.05,0,0,12.66,0.03,0,0,0.46,23.19,135,11.97,0
20191220,003100,0,1.37,0.05,0,0,11.33,0.03,0,0,0.46,23.25,45,13.3,0
20191220,003200,0,1.45,0.05,0,0,11.95,0.03,0,0,0.45,23.31,0,9.31,0
20191220,003300,0,1.5,0.05,0,0,12.37,0.03,0,0,0.45,23.38,90,10.64,0
20191220,003400,0,1.87,0.06,0,0,15.46,0.04,0,0,0.45,23.19,135,14.63,0
20191220,003500,0,1.87,0.06,0,0,15.44,0.04,0,0,0.45,23.25,135,9.31,0
20191220,003600,0,1.76,0.06,0,0,14.56,0.04,0,0,0.46,23.31,90,23.94,0
20191220,003700,0,1.6,0.05,0,0,13.16,0.04,0,0,0.47,23.31,0,9.31,0
20191220,003800,0,1.44,0.05,0,0,11.91,0.03,0,0,0.48,23.25,0,23.94,0
20191220,003900,0,1.53,0.05,0,0,12.58,0.03,0,0,0.49,23.38,90,14.63,0
20191220,004000,0,1.15,0.04,0,0,9.45,0.03,0,0,0.46,23.38,45,27.93,0
20191220,004100,0,1.6,0.05,0,0,13.16,0.04,0,0,0.47,23.56,90,29.26,0
20191220,004200,0,1.54,0.05,0,0,12.67,0.03,0,0,0.47,23.56,135,11.97,0
20191220,004300,0,1.9,0.06,0,0,15.71,0.04,0,0,0.47,23.44,135,9.31,0
20191220,004400,0,1.7,0.06,0,0,14,0.04,0,0,0.47,23.44,0,18.62,0
20191220,004500,0,1.88,0.06,0,0,15.54,0.04,0,0,0.47,23.56,45,14.63,0
20191220,004600,0,1.76,0.06,0,0,14.55,0.04,0,0,0.46,23.56,0,19.95,0
20191220,004700,0,1.95,0.06,0,0,16.11,0.04,0,0,0.48,23.38,45,13.3,0
20191220,004800,0,1.54,0.05,0,0,12.69,0.03,0,0,0.48,23.38,0,27.93,0
20191220,004900,0,1.6,0.05,0,0,13.24,0.04,0,0,0.49,23.31,0,17.29,0
20191220,005000,0,1.6,0.05,0,0,13.2,0.04,0,0,0.48,23.19,45,9.31,0
20191220,005100,0,1.53,0.05,0,0,12.63,0.03,0,0,0.48,23.31,45,11.97,0
20191220,005200,0,1.75,0.06,0,0,14.41,0.04,0,0,0.49,23.31,45,3.99,0
20191220,005300,0,1.67,0.06,0,0,13.76,0.04,0,0,0.5,23.06,90,5.32,0
20191220,005400,0,1.63,0.05,0,0,13.49,0.04,0,0,0.51,23.25,90,7.98,0
20191220,005500,0,1.99,0.07,0,0,16.4,0.05,0,0,0.51,23.25,135,9.31,0
20191220,005600,0,1.84,0.06,0,0,15.21,0.04,0,0,0.5,23.19,45,11.97,0
20191220,005700,0,1.68,0.06,0,0,13.89,0.04,0,0,0.49,23.25,45,18.62,0
20191220,005800,0,1.4,0.05,0,0,11.56,0.03,0,0,0.49,23.31,135,13.3,0
20191220,005900,0,1.46,0.05,0,0,12.01,0.03,0,0,0.47,23.19,90,13.3,0
20191220,010000,0,1.13,0.04,0,0,9.35,0.03,0,0,0.47,23.31,90,9.31,0
20191220,010100,0,1.59,0.05,0,0,13.14,0.04,0,0,0.47,23.38,0,19.95,0
20191220,010300,0,1.18,0.04,0,0,9.71,0.03,0,0,0.47,23.31,45,6.65,0
20191220,010400,0,1.27,0.04,0,0,10.48,0.03,0,0,0.47,23.19,45,13.3,0
20191220,010500,0,1.32,0.04,0,0,10.86,0.03,0,0,0.46,23.19,90,18.62,0
20191220,010600,0,1.3,0.04,0,0,10.74,0.03,0,0,0.46,23.31,90,7.98,0
20191220,010700,0,1.33,0.04,0,0,10.97,0.03,0,0,0.46,23.25,225,15.96,0
20191220,010800,0,1.4,0.05,0,0,11.54,0.03,0,0,0.46,23.06,90,7.98,0
20191220,010900,0,1.6,0.05,0,0,13.18,0.04,0,0,0.46,23.25,90,10.64,0
